! Auto-generated by Reform.

MD5	5d54e326815b0ed3aff8efb8ff02ef2f
Word	popcor	popcor
Word	prehyd	prehyd
Word	prepar	prepar
Word	presid	presid
Word	printo	printo
Word	procee	procee
Word	protag	protag
Word	purcha	purcha
Word	pursue	pursue
Word	ransom	ransom
Word	rawhid	rawhid
Word	reclin	reclin
Word	record	record
Word	rectan	rectan
Word	refres	refres
Word	remove	remove
Word	restar	restar
Word	restor	restor
Word	rewind	rewind
Word	ribbon	ribbon
Word	ricket	ricket
Word	rimsha	rimsha
Word	rodent	rodent
Word	rotate	rotate
Word	rousta	rousta
Word	rummag	rummag
Word	rumple	rumple
Word	russia	russia
Word	safari	safari
Word	safety	safety
Word	saggin	saggin
Word	sawdus	sawdus
Word	scream	scream
Word	script	script
Word	search	search
Word	second	second
Word	secret	secret
Word	secure	secure
Word	sequin	sequin
Word	sergea	sergea
Word	shades	shades
Word	shadow	shadow
Word	shaggy	shaggy
Word	sheeps	sheeps
Word	shithe	shithe
Word	shorte	shorte
Word	shorts	shorts
Word	should	should
Word	shucks	shucks
Word	side-	side-
Word	sidesh	sidesh
Word	sidewa	sidewa
Word	siding	siding
Word	silhoe	silhoe
Word	skelet	skelet
Word	smaldo	smaldo
Word	smooth	smooth
Word	snooze	snooze
Word	southe	southe
Word	southw	southw
Word	spiral	spiral
Word	spotli	spotli
Word	spread	spread
Word	spring	spring
Word	sprink	sprink
Word	square	square
Word	squint	squint
Word	stairc	stairc
Word	stairs	stairs
Word	stairw	stairw
Word	stands	stands
Word	statio	statio
Word	stepla	stepla
Word	stomac	stomac
Word	strike	strike
Word	stunne	stunne
Word	sucker	sucker
Word	suitca	suitca
Word	sungla	sungla
Word	superb	superb
Word	suppor	suppor
Word	swallo	swallo
Word	switch	switch
Word	tablec	tablec
Word	teleph	teleph
Word	thanks	thanks
Word	throug	throug
Word	ticket	ticket
Word	tickle	tickle
Word	tightr	tightr
Word	tina'	tina'
Word	toggle	toggle
Word	toward	toward
Word	traile	traile
Word	traine	traine
Word	transi	transi
Word	trench	trench
Word	trinke	trinke
Word	trophy	trophy
Word	tufted	tufted
Word	turnst	turnst
Word	tuxedo	tuxedo
Word	two-d	two-d
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unifor	unifor
Word	unknot	unknot
Word	unlock	unlock
Word	unscri	unscri
Word	unstab	unstab
Word	untang	untang
Word	verbos	verbos
Word	versio	versio
Word	vertic	vertic
Word	voices	voices
Word	wardro	wardro
Word	warped	warped
Word	what'	what'
Word	wheres	wheres
Word	whimpe	whimpe
Word	wilhel	wilhel
Word	willia	willia
Word	window	window
Word	withdr	withdr
Word	yogurt	yogurt
Word	yourse	yourse
Word	zzmgck	zzmgck

Routine 0x5780	routine22400:?
Routine 0x5822	routine22562:?
Routine 0x587e	routine22654:?
Routine 0x5892	routine22674:?
Routine 0x5a44	routine23108:?
Routine 0x5a50	routine23120:?
Routine 0x5d92	routine23954:?
Routine 0x5da2	routine23970:?
Routine 0x5db4	routine23988:?
Routine 0x5e28	routine24104:?
Routine 0x5f40	routine24384:?
Routine 0x5f60	routine24416:?
Routine 0x5f74	routine24436:?
Routine 0x5faa	routine24490:?
Routine 0x600a	routine24586:?
Routine 0x669c	routine26268:?
Routine 0x66f4	routine26356:?
Routine 0x6748	routine26440:?
Routine 0x6760	routine26464:?
Routine 0x67c0	routine26560:?
Routine 0x67e6	routine26598:?
Routine 0x69d6	routine27094:?
Routine 0x6b76	routine27510:?
Routine 0x6bd8	routine27608:?
Routine 0x6dcc	routine28108:?
Routine 0x6e0a	routine28170:?
Routine 0x6e38	routine28216:?
Routine 0x6e4e	routine28238:?
Routine 0x6e96	routine28310:?
Routine 0x6ee8	routine28392:?
Routine 0x70e0	routine28896:?
Routine 0x7116	routine28950:?
Routine 0x7138	routine28984:?
Routine 0x71d8	routine29144:?
Routine 0x71f2	routine29170:?
Routine 0x7292	routine29330:?
Routine 0x7328	routine29480:?
Routine 0x7362	routine29538:?
Routine 0x7382	routine29570:?
Routine 0x73f8	routine29688:?
Routine 0x741a	routine29722:?
Routine 0x7440	routine29760:?
Routine 0x744c	routine29772:?
Routine 0x74bc	routine29884:?
Routine 0x7524	routine29988:?
Routine 0x7572	routine30066:?
Routine 0x76e4	routine30436:?
Routine 0x772c	routine30508:?
Routine 0x7878	routine30840:?
Routine 0x78aa	routine30890:?
Routine 0x78de	routine30942:?
Routine 0x78e6	routine30950:?
Routine 0x7ae0	routine31456:?
Routine 0x7b2c	routine31532:?
Routine 0x7bac	routine31660:?
Routine 0x7c68	routine31848:?
Routine 0x7c9c	routine31900:?
Routine 0x7d06	routine32006:?
Routine 0x7d24	routine32036:?
Routine 0x7d40	routine32064:?
Routine 0x7e60	routine32352:?
! References: obj26_shelf_of_books.prop19
Routine 0x7eee	routine32494:?
Routine 0x7f16	routine32534:?
Routine 0x7f2e	routine32558:?
Routine 0x7f92	routine32658:?
Routine 0x7fbe	routine32702:?
Routine 0x7fea	routine32746:?
Routine 0x8036	Action177Sub:?
Routine 0x803c	Action176Sub:?
Routine 0x8060	Action178Sub:?
Routine 0x8066	Action179Sub:?
Routine 0x806c	Action0Sub:?
Routine 0x8088	Action8Sub:?
Routine 0x8098	Action7Sub:?
Routine 0x80b0	Action9Sub:?
Routine 0x80e4	Action10Sub:?
Routine 0x8100	Action11Sub:?
! References: obj144_camp.prop19
Routine 0x811e	routine33054:?
Routine 0x813c	Action1Sub:?
Routine 0x8150	Action2Sub:?
Routine 0x816a	Action3Sub:?
Routine 0x81cc	Action4Sub:?
Routine 0x81fc	routine33276:?
Routine 0x822a	Action5Sub:?
Routine 0x8262	Action6Sub:?
Routine 0x82a6	routine33446:?
Routine 0x82be	routine33470:?
Routine 0x8328	routine33576:?
Routine 0x838a	Action12Sub:?
Routine 0x8414	Action13Sub:?
Routine 0x844e	Action15Sub:?
Routine 0x8456	Action161Sub:?
Routine 0x8478	Action16Sub:?
Routine 0x84c6	Action19Sub:?
Routine 0x852c	Action21Sub:?
Routine 0x8570	Action22Sub:?
Routine 0x85d2	Action23Sub:?
Routine 0x85f0	Action25Sub:?
Routine 0x8602	Action26Sub:?
Routine 0x860c	Action27Sub:?
Routine 0x8616	PreAction28Sub:?
Routine 0x8672	Action28Sub:?
Routine 0x86ee	Action30Sub:?
Routine 0x8704	PreAction31Sub:?
Routine 0x8724	Action31Sub:?
Routine 0x874a	Action32Sub:?
Routine 0x877e	Action34Sub:?
Routine 0x8788	Action100Sub:?
Routine 0x87f2	Action35Sub:?
Routine 0x8826	Action18Sub:?
Routine 0x890a	Action165Sub:?
Routine 0x8922	Action39Sub:?
Routine 0x8934	Action36Sub:?
Routine 0x896c	Action37Sub:?
Routine 0x89b0	Action41Sub:?
Routine 0x89b8	Action38Sub:?
Routine 0x89ca	Action44Sub:?
Routine 0x8a12	PreAction46Sub:?
Routine 0x8a50	Action46Sub:?
! References: obj46_Dr__Nostrum_s_Prehydrogenated_Genuine_Preparation_of_Naturally_Nitrated_Compound_Herbified_Extract.prop19
Routine 0x8a86	Action48Sub:?
Routine 0x8a92	Action43Sub:?
Routine 0x8ab8	Action49Sub:?
Routine 0x8aea	Action53Sub:?
Routine 0x8af6	Action40Sub:?
Routine 0x8bea	Action55Sub:?
Routine 0x8bf8	Action56Sub:?
! References: obj39_cheese_morsel.prop19, obj69_refreshment.prop19, obj102_corpuscular_lump_of_meat.prop19, obj163_one_dollar_and_85_cent_granola_bar.prop19, obj209_two_dollar_and_25_cent_frozen_banana.prop19
Routine 0x8c00	Action57Sub:?
Routine 0x8c08	PreAction58Sub:?
Routine 0x8c12	Action58Sub:?
Routine 0x8c26	Action62Sub:?
Routine 0x8c50	Action63Sub:?
Routine 0x8c58	Action116Sub:?
Routine 0x8ca6	Action64Sub:?
Routine 0x8cc6	Action66Sub:?
Routine 0x8dbe	Action67Sub:?
Routine 0x8dcc	Action65Sub:?
Routine 0x8de4	Action70Sub:?
Routine 0x8e66	Action73Sub:?
Routine 0x8f1c	Action69Sub:?
Routine 0x8fcc	routine36812:?
Routine 0x8fee	routine36846:?
Routine 0x9004	Action74Sub:?
Routine 0x9050	routine36944:?
Routine 0x906c	routine36972:?
Routine 0x90a0	PreAction71Sub:?
Routine 0x90cc	Action143Sub:?
Routine 0x90e0	Action71Sub:?
Routine 0x9132	Action118Sub:?
Routine 0x913a	Action76Sub:?
Routine 0x9166	Action77Sub:?
Routine 0x91b4	Action79Sub:?
Routine 0x91fa	Action80Sub:?
Routine 0x9208	Action81Sub:?
Routine 0x9276	Action29Sub:?
Routine 0x929c	Action85Sub:?
Routine 0x92a6	Action24Sub:?
Routine 0x930a	Action87Sub:?
Routine 0x9334	Action86Sub:?
Routine 0x93a8	Action45Sub:?
Routine 0x93b6	Action91Sub:?
Routine 0x93c2	Action82Sub:?
Routine 0x93fe	Action83Sub:?
Routine 0x9414	Action88Sub:?
Routine 0x94d4	Action89Sub:?
Routine 0x9500	Action90Sub:?
Routine 0x950e	Action75Sub:?
Routine 0x952e	PreAction92Sub:?
Routine 0x95e8	Action92Sub:?
Routine 0x964c	Action93Sub:?
Routine 0x965a	Action98Sub:?
Routine 0x968c	Action94Sub:?
Routine 0x9754	Action68Sub:?
Routine 0x9852	Action99Sub:?
Routine 0x9868	Action96Sub:?
Routine 0x9884	Action97Sub:?
Routine 0x9934	Action95Sub:?
! References: obj11_your_hand.prop19
Routine 0x9a1c	Action101Sub:?
Routine 0x9a24	Action102Sub:?
Routine 0x9a36	Action104Sub:?
! References: obj229_path.prop19
Routine 0x9a8c	Action50Sub:?
Routine 0x9a96	Action52Sub:?
Routine 0x9ba8	Action108Sub:?
Routine 0x9c94	Action109Sub:?
! References: obj27_scrap_of_newsprint.prop19
Routine 0x9cf4	Action110Sub:?
Routine 0x9e2e	Action33Sub:?
Routine 0x9e56	Action111Sub:?
Routine 0x9e6e	Action112Sub:?
Routine 0x9e78	Action113Sub:?
Routine 0x9e80	Action114Sub:?
Routine 0x9e88	Action115Sub:?
Routine 0x9e92	Action106Sub:?
Routine 0x9eba	PreAction59Sub:?
! References: obj135_room.prop19
Routine 0x9f6a	Action59Sub:?
Routine 0xa088	Action120Sub:?
Routine 0xa090	Action60Sub:?
Routine 0xa11e	Action61Sub:?
Routine 0xa136	Action107Sub:?
Routine 0xa13e	Action105Sub:?
Routine 0xa148	Action121Sub:?
Routine 0xa1ba	PreAction66Sub:?
Routine 0xa1f0	Action125Sub:?
Routine 0xa206	Action124Sub:?
Routine 0xa21e	Action164Sub:?
Routine 0xa242	Action127Sub:?
Routine 0xa24a	Action126Sub:?
Routine 0xa260	Action17Sub:?
Routine 0xa28c	Action122Sub:?
Routine 0xa2cc	Action78Sub:?
Routine 0xa300	Action129Sub:?
Routine 0xa394	Action130Sub:?
Routine 0xa3fa	routine41978:?
Routine 0xa414	Action154Sub:?
Routine 0xa4be	Action72Sub:?
Routine 0xa4c8	Action131Sub:?
Routine 0xa4e0	Action132Sub:?
Routine 0xa510	Action133Sub:?
Routine 0xa52c	Action135Sub:?
Routine 0xa554	Action136Sub:?
Routine 0xa562	Action54Sub:?
! References: obj177_spiral_staircase.prop19
Routine 0xa57c	Action137Sub:?
Routine 0xa5c4	Action138Sub:?
Routine 0xa5ce	Action139Sub:?
Routine 0xa5da	Action47Sub:?
Routine 0xa5e4	Action171Sub:?
Routine 0xa5ee	Action134Sub:?
Routine 0xa5f8	Action140Sub:?
Routine 0xa658	Action141Sub:?
Routine 0xa66e	Action148Sub:?
Routine 0xa678	Action142Sub:?
Routine 0xa692	PreAction112Sub:?
Routine 0xa7a8	routine42920:?
! References: obj218_Gottfried_Wilhelm_von_Katzenjammer.prop19
Routine 0xa7c8	Action117Sub:?
Routine 0xa7ea	Action144Sub:?
Routine 0xa866	Action123Sub:?
Routine 0xa890	Action128Sub:?
Routine 0xa898	Action145Sub:?
Routine 0xa8ba	Action146Sub:?
Routine 0xa8d8	Action14Sub:?
Routine 0xa94e	Action147Sub:?
Routine 0xa978	routine43384:?
Routine 0xa97e	Action149Sub:?
Routine 0xa986	Action150Sub:?
Routine 0xa9a8	Action42Sub:?
Routine 0xa9f6	PreAction151Sub:?
Routine 0xaa00	Action151Sub:?
Routine 0xaa60	Action152Sub:?
Routine 0xaa90	Action153Sub:?
Routine 0xaab8	Action155Sub:?
Routine 0xaada	Action156Sub:?
Routine 0xab48	routine43848:?
Routine 0xab90	Action157Sub:?
Routine 0xabb6	Action84Sub:?
Routine 0xac56	Action162Sub:?
Routine 0xad24	Action103Sub:?
Routine 0xad52	Action163Sub:?
Routine 0xad68	Action20Sub:?
Routine 0xad84	Action158Sub:?
Routine 0xadaa	Action159Sub:?
Routine 0xadc2	Action160Sub:?
Routine 0xade2	Action166Sub:?
Routine 0xadea	Action167Sub:?
Routine 0xae20	PreAction119Sub:?
Routine 0xae4e	Action119Sub:?
Routine 0xae6a	Action168Sub:?
Routine 0xaeaa	Action169Sub:?
Routine 0xaebe	Action170Sub:?
Routine 0xafe2	Action172Sub:?
Routine 0xb002	Action173Sub:?
Routine 0xb00c	Action174Sub:?
Routine 0xb02a	Action175Sub:?
Routine 0xb046	routine45126:?
Routine 0xb04c	Action51Sub:?
Routine 0xb212	routine45586:?
Routine 0xb282	routine45698:?
Routine 0xb512	routine46354:?
Routine 0xb53e	routine46398:?
Routine 0xb556	routine46422:?
Routine 0xb5a0	routine46496:?
Routine 0xb684	routine46724:?
Routine 0xb71c	routine46876:?
Routine 0xb90c	routine47372:?
Routine 0xb936	routine47414:?
Routine 0xb960	routine47456:?
Routine 0xb988	routine47496:?
Routine 0xbab0	routine47792:?
Routine 0xbad8	routine47832:?
Routine 0xbb24	routine47908:?
Routine 0xbb6c	routine47980:?
Routine 0xbb90	routine48016:?
Routine 0xbba8	routine48040:?
Routine 0xbbce	routine48078:?
Routine 0xbbf4	routine48116:?
Routine 0xbc08	routine48136:?
Routine 0xbc26	routine48166:?
Routine 0xbc40	routine48192:?
Routine 0xbc6a	routine48234:?
Routine 0xbc78	routine48248:?
Routine 0xbc82	routine48258:?
Routine 0xbcbc	routine48316:?
Routine 0xbcd4	routine48340:?
Routine 0xbcea	routine48362:?
! References: obj179_your_back.prop9
Routine 0xbd2a	routine48426:?
! References: obj193.prop9
Routine 0xbd48	routine48456:?
! References: obj152_money.prop9
Routine 0xbd78	routine48504:?
! References: obj186_dollar.prop9
Routine 0xbdfa	routine48634:?
! References: obj189_it.prop9
Routine 0xbe30	routine48688:?
Routine 0xbf66	routine48998:?
Routine 0xbfae	routine49070:?
! References: obj58_light.prop9, obj74_chandelier.prop9
Routine 0xbffc	routine49148:?
! References: obj67_darkness.prop9
Routine 0xc022	routine49186:?
! References: obj188_ground.prop9
Routine 0xc030	routine49200:?
! References: obj83_wall.prop9
Routine 0xc096	routine49302:?
Routine 0xc0d8	routine49368:?
! References: obj202_ceiling.prop9
Routine 0xc0fc	routine49404:?
! References: obj132_corner.prop9
Routine 0xc118	routine49432:?
! References: obj120_egress.prop9
Routine 0xc156	routine49494:?
! References: obj101_ladder.prop9
Routine 0xc17e	routine49534:?
Routine 0xc2cc	routine49868:?
Routine 0xc49c	routine50332:?
! References: obj30_Top_of_Cage.u_to, obj131_Performance_Ring.u_to, obj148_Near_White_Wagon.u_to
Routine 0xc4d8	routine50392:?
! References: obj56_Platform.d_to
Routine 0xc500	routine50432:?
Routine 0xc51c	routine50460:?
! References: obj6_air.prop9
Routine 0xc568	routine50536:?
! References: obj11_your_hand.prop9
Routine 0xc574	routine50548:?
! References: obj127_monkey.prop9
Routine 0xc60e	routine50702:?
! References: obj51_your_head.prop9
Routine 0xc7ea	routine51178:?
! References: obj211_it.prop9
Routine 0xc80e	routine51214:?
Routine 0xc810	routine51216:?
! References: obj174_himself_or_herself.prop9
Routine 0xc8de	routine51422:?
! References: obj29_yourself.prop9, obj238_pseudo.prop9
Routine 0xc902	routine51458:?
! References: obj21_closet.prop9, obj28_midway.prop9, obj45_parlor.prop9, obj61_menagerie.prop9, obj135_room.prop9, obj144_camp.prop9
Routine 0xc9f0	routine51696:?
! References: obj24_conversation.prop9
Routine 0xca9c	routine51868:?
! References: obj111_voice.prop9
Routine 0xcb06	routine51974:?
! References: obj24_conversation.prop7, obj111_voice.prop7
Routine 0xcbdc	routine52188:?
! References: obj34_roar.prop9
Routine 0xcbe0	routine52192:?
Routine 0xcbf6	routine52214:?
Routine 0xcc1e	routine52254:?
Routine 0xcc2c	routine52268:?
Routine 0xcc54	routine52308:?
Routine 0xccae	routine52398:?
Routine 0xccc4	routine52420:?
Routine 0xcce0	routine52448:?
Routine 0xccf0	routine52464:?
Routine 0xcd14	routine52500:?
Routine 0xcd42	routine52546:?
Routine 0xcd70	routine52592:?
Routine 0xcde6	routine52710:?
Routine 0xcdfe	routine52734:?
Routine 0xce22	routine52770:?
Routine 0xce2e	routine52782:?
Routine 0xce62	routine52834:?
Routine 0xce9c	routine52892:?
Routine 0xcec2	routine52930:?
Routine 0xced6	routine52950:?
Routine 0xceea	routine52970:?
Routine 0xcf40	routine53056:?
Routine 0xcf72	routine53106:?
Routine 0xcf82	routine53122:?
Routine 0xcfd0	routine53200:?
Routine 0xcfdc	routine53212:?
Routine 0xcffe	routine53246:?
Routine 0xd02a	routine53290:?
Routine 0xd046	routine53318:?
Routine 0xd3a0	routine54176:?
Routine 0xd3f0	routine54256:?
Routine 0xd414	routine54292:?
! References: obj86_circus.prop9
Routine 0xd446	routine54342:?
! References: obj206_Under_the_Bleachers.prop9
Routine 0xd47a	routine54394:?
! References: obj87_Midway_Entrance.n_to, obj206_Under_the_Bleachers.southw_to, obj206_Under_the_Bleachers.s_to
Routine 0xd4f6	routine54518:?
! References: obj206_Under_the_Bleachers.u_to
Routine 0xd546	routine54598:?
! References: obj195_garbage.prop9
Routine 0xd572	routine54642:?
! References: obj217_grandstand.prop9
Routine 0xd67a	routine54906:?
! References: obj182_Standing_Room_Only.prop9
Routine 0xd6ea	routine55018:?
Routine 0xd8f6	routine55542:?
Routine 0xd954	routine55636:?
! References: obj69_refreshment.prop9
Routine 0xdac8	routine56008:?
! References: obj78_hawker.prop9
Routine 0xdbb2	routine56242:?
! References: obj168_crowd.prop9
Routine 0xdd6c	routine56684:?
Routine 0xde5c	routine56924:?
Routine 0xde82	routine56962:?
! References: obj182_Standing_Room_Only.u_to, obj182_Standing_Room_Only.n_to
Routine 0xdf84	routine57220:?
! References: obj182_Standing_Room_Only.d_to, obj182_Standing_Room_Only.s_to
Routine 0xdfa6	routine57254:?
! References: obj182_Standing_Room_Only.e_to
Routine 0xdfc8	routine57288:?
! References: obj182_Standing_Room_Only.w_to
Routine 0xdfe6	routine57318:?
Routine 0xe002	routine57346:?
Routine 0xe058	routine57432:?
Routine 0xe094	routine57492:?
! References: obj159_big_top.prop9
Routine 0xe150	routine57680:?
! References: obj79_center_pole.prop9
Routine 0xe2c8	routine58056:?
! References: obj139_ring.prop9
Routine 0xe316	routine58134:?
! References: obj165_balloon.prop9
Routine 0xe330	routine58160:?
Routine 0xe4aa	routine58538:?
! References: obj134_helium.prop9
Routine 0xe52e	routine58670:?
Routine 0xe5e0	routine58848:?
! References: obj3_safety_net.prop9
Routine 0xe608	routine58888:?
! References: obj183_safety_net.prop9
Routine 0xe71c	routine59164:?
! References: obj3_safety_net.prop7, obj183_safety_net.prop7
Routine 0xe780	routine59264:?
! References: obj81_In_the_Wings.prop9
Routine 0xe784	routine59268:?
! References: obj81_In_the_Wings.in_to, obj81_In_the_Wings.n_to
Routine 0xe906	routine59654:?
! References: obj81_In_the_Wings.u_to, obj81_In_the_Wings.ne_to
Routine 0xe93a	routine59706:?
Routine 0xe984	routine59780:?
! References: obj131_Performance_Ring.e_to, obj131_Performance_Ring.n_to
Routine 0xe9b4	routine59828:?
! References: obj131_Performance_Ring.prop9
Routine 0xea0c	routine59916:?
! References: obj131_Performance_Ring.out_to, obj131_Performance_Ring.s_to
Routine 0xec7a	routine60538:?
Routine 0xecaa	routine60586:?
Routine 0xecee	routine60654:?
! References: obj133_stool.prop9
Routine 0xedd2	routine60882:?
! References: obj56_Platform.prop9
Routine 0xee24	routine60964:?
! References: obj56_Platform.u_to
Routine 0xee46	routine60998:?
! References: obj70_Platform.prop9
Routine 0xee50	routine61008:?
Routine 0xee66	routine61030:?
! References: obj62_Walking_a_Tightrope.prop9
Routine 0xef2e	routine61230:?
! References: obj72_tightrope.prop9
Routine 0xefc6	routine61382:?
! References: obj220_apparatus.prop9
Routine 0xf018	routine61464:?
Routine 0xf0e0	routine61664:?
! References: obj145_platform.prop9
Routine 0xf0ee	routine61678:?
! References: obj56_Platform.e_to, obj70_Platform.w_to
Routine 0xf1aa	routine61866:?
Routine 0xf24c	routine62028:?
Routine 0xf31e	routine62238:?
Routine 0xf334	routine62260:?
Routine 0xf350	routine62288:?
Routine 0xf388	routine62344:?
! References: obj62_Walking_a_Tightrope.w_to, obj62_Walking_a_Tightrope.e_to
Routine 0xf406	routine62470:?
! References: obj225_Left_Hanging.prop9
Routine 0xf834	routine63540:?
! References: obj225_Left_Hanging.d_to
Routine 0xf8e0	routine63712:?
Routine 0xf8e8	routine63720:?
! References: obj170_Lions__Den.prop9
Routine 0xf95e	routine63838:?
! References: obj170_Lions__Den.s_to
Routine 0xfae0	routine64224:?
Routine 0xfb18	routine64280:?
! References: obj37_lions__den.prop9
Routine 0xfcde	routine64734:?
Routine 0xfe54	routine65108:?
! References: obj96_lion_stand.prop9
Routine 0xfe7e	routine65150:?
Routine 0x10014	routine65556:?
Routine 0x10022	routine65570:?
! References: obj31_shaggy_lion.prop9
Routine 0x1003a	routine65594:?
Routine 0x101e0	routine66016:?
Routine 0x1025c	routine66140:?
! References: obj117_smooth_bodied_lion.prop9
Routine 0x10270	routine66160:?
Routine 0x10498	routine66712:?
! References: obj35_lion.prop9
Routine 0x104a2	routine66722:?
! References: obj102_corpuscular_lump_of_meat.prop9
Routine 0x10548	routine66888:?
! References: obj65_bucket.prop9
Routine 0x105b2	routine66994:?
Routine 0x1073e	routine67390:?
Routine 0x107bc	routine67516:?
! References: obj187_water.prop9
Routine 0x107d2	routine67538:?
! References: obj16_rawhide_bullwhip.prop9
Routine 0x108ca	routine67786:?
! References: obj149_cage_door.prop9
Routine 0x108e8	routine67816:?
! References: obj57_Connection.prop9
Routine 0x108fe	routine67838:?
Routine 0x10aba	routine68282:?
! References: obj125_sagging_banner.prop9
Routine 0x10ae8	routine68328:?
! References: obj80_long_line.prop9
Routine 0x10b56	routine68438:?
! References: obj17_short_line.prop9
Routine 0x10bd6	routine68566:?
Routine 0x10bfa	routine68602:?
Routine 0x10c3c	routine68668:?
! References: obj17_short_line.prop7, obj80_long_line.prop7
Routine 0x10cc8	routine68808:?
Routine 0x10cfc	routine68860:?
Routine 0x10ff2	routine69618:?
! References: obj163_one_dollar_and_85_cent_granola_bar.prop9
Routine 0x110d6	routine69846:?
! References: obj12_cage.prop7, obj37_lions__den.prop7, obj49_barred_passage.prop7, obj147_crowbar.prop7, obj163_one_dollar_and_85_cent_granola_bar.prop7
Routine 0x1112c	routine69932:?
! References: obj209_two_dollar_and_25_cent_frozen_banana.prop9
Routine 0x11130	routine69936:?
! References: obj75_jumble_of_trinkets.prop7, obj102_corpuscular_lump_of_meat.prop7, obj209_two_dollar_and_25_cent_frozen_banana.prop7
Routine 0x11290	routine70288:?
! References: obj162_Jerry.prop9
Routine 0x11294	routine70292:?
! References: obj42_group_of_ballplayers.prop9
Routine 0x11300	routine70400:?
Routine 0x11350	routine70480:?
Routine 0x113cc	routine70604:?
! References: obj142_concession_stand.prop9
Routine 0x11458	routine70744:?
! References: obj181_concessionaire.prop9
Routine 0x1154a	routine70986:?
! References: obj90_drinking_fountain.prop9
Routine 0x1158a	routine71050:?
! References: obj22_button.prop9
Routine 0x115c2	routine71106:?
! References: obj10_water.prop9
Routine 0x11652	routine71250:?
! References: obj4_Back_Yard.prop9
Routine 0x1166e	routine71278:?
Routine 0x1181a	routine71706:?
! References: obj49_barred_passage.prop18
Routine 0x11abe	routine72382:?
! References: obj49_barred_passage.prop9
Routine 0x11b7a	routine72570:?
! References: obj49_barred_passage.prop5
Routine 0x11ccc	routine72908:?
Routine 0x11d24	routine72996:?
! References: obj38_rusty_grate.prop9
Routine 0x11d56	routine73046:?
Routine 0x11f74	routine73588:?
! References: obj230_Beside_the_Big_Top.prop9
Routine 0x12002	routine73730:?
! References: obj148_Near_White_Wagon.prop9
Routine 0x12036	routine73782:?
Routine 0x12144	routine74052:?
! References: obj148_Near_White_Wagon.out_to, obj148_Near_White_Wagon.s_to
Routine 0x12176	routine74102:?
Routine 0x12290	routine74384:?
Routine 0x122ae	routine74414:?
! References: obj63_On_the_Wagon.prop9
Routine 0x122e4	routine74468:?
! References: obj63_On_the_Wagon.in_to
Routine 0x123d8	routine74712:?
! References: obj110_white_wagon.prop9
Routine 0x12434	routine74804:?
Routine 0x125a2	routine75170:?
! References: obj63_On_the_Wagon.d_to
Routine 0x125c2	routine75202:?
! References: obj237_crank.prop9
Routine 0x1261e	routine75294:?
! References: obj40_square_aluminum_panel.prop9
Routine 0x1267e	routine75390:?
! References: obj59_Office.prop9
Routine 0x1272e	routine75566:?
! References: obj176_spreadsheet.prop9
Routine 0x12810	routine75792:?
! References: obj203_telephone.prop9
Routine 0x12864	routine75876:?
! References: obj23_police.prop9
Routine 0x1289a	routine75930:?
! References: obj130_chain_link_fence.prop9
Routine 0x128ac	routine75948:?
! References: obj73_Eddie_Smaldone.prop9
Routine 0x1292e	routine76078:?
Routine 0x12a1e	routine76318:?
Routine 0x12a46	routine76358:?
Routine 0x12b02	routine76546:?
Routine 0x12bd2	routine76754:?
Routine 0x12c84	routine76932:?
! References: obj100_office_door.prop9
Routine 0x12cc4	routine76996:?
Routine 0x12dd0	routine77264:?
! References: obj59_Office.u_to
Routine 0x12dfa	routine77306:?
! References: obj167_office.prop9
Routine 0x12e1e	routine77342:?
! References: obj103_cherry_hardwood_desk.prop9
Routine 0x12e74	routine77428:?
! References: obj54_chair.prop9
Routine 0x12f5e	routine77662:?
! References: obj234_desk.prop9
Routine 0x12fac	routine77740:?
Routine 0x12fda	routine77786:?
! References: obj172_diploma.prop9
Routine 0x13060	routine77920:?
! References: obj26_shelf_of_books.prop9
Routine 0x13084	routine77956:?
! References: obj198_burned_cage.prop9
Routine 0x13100	routine78080:?
! References: obj207_guard.prop9
Routine 0x131da	routine78298:?
! References: obj32_pair_of_sunglasses.prop9
Routine 0x13cb0	routine81072:?
! References: obj92_turnstile.prop9, obj235_turnstile.prop9
Routine 0x13cce	routine81102:?
! References: obj92_turnstile.prop18
Routine 0x13daa	routine81322:?
! References: obj160_narrow_slot.prop9
Routine 0x13dd4	routine81364:?
Routine 0x13ef6	routine81654:?
! References: obj4_Back_Yard.s_to, obj57_Connection.e_to, obj87_Midway_Entrance.out_to, obj87_Midway_Entrance.w_to, obj201_Camp__East.out_to, obj201_Camp__East.n_to
Routine 0x13f22	routine81698:?
Routine 0x13fa8	routine81832:?
! References: obj1_Inside_Prop_Tent.prop9
Routine 0x13fea	routine81898:?
! References: obj1_Inside_Prop_Tent.s_to, obj94_Camp__West.out_to, obj94_Camp__West.n_to
Routine 0x1417a	routine82298:?
Routine 0x141c4	routine82372:?
! References: obj1_Inside_Prop_Tent.out_to, obj1_Inside_Prop_Tent.e_to
Routine 0x14240	routine82496:?
! References: obj154.prop9
Routine 0x142b6	routine82614:?
Routine 0x144f0	routine83184:?
Routine 0x144fa	routine83194:?
Routine 0x14574	routine83316:?
Routine 0x1459e	routine83358:?
! References: obj39_cheese_morsel.prop9
Routine 0x145a0	routine83360:?
! References: obj196.prop18
Routine 0x1461c	routine83484:?
! References: obj196.prop9
