! Auto-generated by Reform.

MD5	808039c4e9554bdd15d7793539b3bd97
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'score'
Action 1	Action1		! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 2	Action2		! 'die'/'q//'/'quit'
Action 3	Action3		! 'restore'
Action 4	Action4		! 'restart'
Action 5	Action5		! 'verify'
Action 6	Action6		! 'save'
Action 7	Action7		! 'script'
				! 'script' 'on'
Action 8	Action8		! 'noscript'/'unscript'
				! 'script' 'off'
Action 9	Action9		! 'short'/'superbrie'
Action 10	Action10	! 'long'/'verbose'
Action 11	Action11	! 'brief'/'normal'
Action 12	Action12	! 'nouns'/'pronouns'
Action 13	Action13	! 'notify' 'on'
Action 14	Action14	! 'notify' 'off'
Action 15	Action15	! 'version'
Action 16	Action16	! 'places'
Action 17	Action17	! 'objects'
Action 18	Action18	! 'exit'/'out'/'outside'
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'hold'/'take' 'out'
				! 'carry'/'get'/'hold'/'take' 'off'
				! 'carry'/'get'/'hold'/'take' 'up'
Action 19	Action19	! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'hold'/'take' multi
Action 20	Action20	! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'off' noun
Action 21	Action21	! 'lie'/'sit' 'on' noun
				! 'lie'/'sit' 'in' noun
				! 'lie'/'sit' 'inside' noun
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into' noun
				! 'go'/'leave'/'run'/'walk' 'in' noun
				! 'go'/'leave'/'run'/'walk' 'inside' noun
				! 'go'/'leave'/'run'/'walk' 'through' noun
				! 'stand' 'on' noun
				! 'carry'/'get'/'hold'/'take' 'in' noun
				! 'carry'/'get'/'hold'/'take' 'into' noun
				! 'carry'/'get'/'hold'/'take' 'on' noun
Action 22	Action22	! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'hold'/'take' 'off' attrib26
Action 23	Action23	! 'carry'/'get'/'hold'/'take' 'off' noun
Action 24	Action24	! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'hold'/'take' 'inventory'
Action 25	Action25	! 'put' 'on' held
				! 'don'/'wear' held
Action 26	Action26	! 'discard'/'drop'/'throw' multiexcept 'in' noun
				! 'discard'/'drop'/'throw' multiexcept 'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'down' noun
				! 'insert' multiexcept 'in' noun
				! 'insert' multiexcept 'into' noun
				! 'put' multiexcept 'in' noun
				! 'put' multiexcept 'inside' noun
				! 'put' multiexcept 'into' noun
Action 27	Action27	! 'discard'/'drop'/'throw' multiexcept 'on' noun
				! 'discard'/'drop'/'throw' multiexcept 'onto' noun
				! 'put' multiexcept 'on' noun
				! 'put' multiexcept 'onto' noun
Action 28	Action28	! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 29	Action29	! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 30	Action30	! 'empty' noun 'to' noun
				! 'empty' noun 'into' noun
				! 'empty' noun 'on' noun
				! 'empty' noun 'onto' noun
Action 31	Action31	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 32	Action32	! 'discard'/'drop'/'throw' held 'at' noun
				! 'discard'/'drop'/'throw' held 'against' noun
Action 33	Action33	! 'feed'/'give'/'offer'/'pay' creature held
Action 34	Action34	! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 35	Action35	! 'display'/'present'/'show' creature held
Action 36	Action36	! 'display'/'present'/'show' held 'to' creature
Action 37	Action37	! 'go'/'leave'/'run'/'walk'
Action 38	Action38	! 'go'/'leave'/'run'/'walk' noun=routine211820
Action 39	Action39	! 'i//'/'inv'/'inventory' 'tall'
Action 40	Action40	! 'i//'/'inv'/'inventory' 'wide'
Action 41	Action41	! 'l//'/'look'
Action 42	Action42	! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' scope=routine85104
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 43	Action43	! 'search' noun
				! 'l//'/'look' 'inside' noun
				! 'l//'/'look' 'in' noun
				! 'l//'/'look' 'into' noun
				! 'l//'/'look' 'through' noun
Action 44	Action44	! 'l//'/'look' 'under' noun
Action 45	Action45	! 'read' 'about' routine211912 'in' noun
				! 'read' routine211912 'in' noun
				! 'consult' noun 'about' routine211828
				! 'consult' noun 'on' routine211828
				! 'l//'/'look' 'up' routine211912 'in' noun
Action 46	Action46	! 'open'/'uncover'/'undo'/'unwrap' noun
Action 47	Action47	! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 48	Action48	! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 49	Action49	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 50	Action50	! 'in'/'inside'
				! 'cross'/'enter'
Action 51	Action51	! 'y//'/'yes'
Action 52	Action52	! 'no'
Action 53	Action53	! 'sorry'
Action 54	Action54	! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 55	Action55	! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 56	Action56	! 'wave'
Action 57	Action57	! 'wave' noun
Action 58	Action58	! 'adjust'/'set' noun
Action 59	Action59	! 'adjust'/'set' noun 'to' special
Action 60	Action60	! 'drag'/'pull' noun
Action 61	Action61	! 'clear'/'move'/'press'/'push'/'shift' noun
Action 62	Action62	! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 63	Action63	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 64	Action64	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 65	Action65	! 'lock' noun 'with' held
Action 66	Action66	! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Action67	! 'wait'/'z//'
Action 68	Action68	! 'answer'/'say'/'shout'/'speak' routine211828 'to' creature
Action 69	Action69	! 'tell' creature 'about' routine211828
Action 70	Action70	! 'ask' creature 'about' routine211828
Action 71	Action71	! 'ask' creature 'for' noun
Action 72	Action72	! 'eat' held
Action 73	Action73	! 'nap'/'sleep'
Action 74	Action74	! 'sing'
Action 75	Action75	! 'climb'/'scale' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'over' noun
Action 76	Action76	! 'buy'/'purchase' noun
Action 77	Action77	! 'squash'/'squeeze' noun
Action 78	Action78	! 'dive'/'swim'
Action 79	Action79	! 'swing' noun
				! 'swing' 'on' noun
Action 80	Action80	! 'play' held
				! 'blow' held
Action 81	Action81	! 'pray'
Action 82	Action82	! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 83	Action83	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 84	Action84	! 'embrace'/'hug'/'kiss' creature
Action 85	Action85	! 'think'
Action 86	Action86	! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 87	Action87	! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 88	Action88	! 'taste' noun
Action 89	Action89	! 'feel'/'fondle'/'grope'/'touch' noun
Action 90	Action90	! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 91	Action91	! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 92	Action92	! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 93	Action93	! 'drink'/'sip'/'swallow' noun
Action 94	Action94	! 'fill' noun
Action 95	Action95	! 'clip'/'trim' noun
				! 'chop'/'cut'/'prune'/'slice' noun
Action 96	Action96	! 'hop'/'jump'/'skip'
Action 97	Action97	! 'hop'/'jump'/'skip' 'over' noun
Action 98	Action98	! 'dig' noun
				! 'dig' noun 'with' held
Action 99	Action99	! 'diagnose'/'health'/'status'
Action 100	Action100	! 'chants'/'memory'/'spells'
Action 101	Action101	! 'learn'/'memorise'/'memorize'/'prepare' scope=routine85104
Action 102	Action102	! 'c,cast'
				! 'c,cast' noun
Action 103	Action103	! 'cast'/'chant' attrib32
				! 'cast'/'chant' attrib32 'at' noun
				! 'cast'/'chant' attrib32 'on' noun
Action 104	Action104	! 'bellow'/'scream'/'yell'
Action 105	Action105	! 'cough'/'sneeze'
Action 106	Action106	! 'yawn'
Action 107	Action107	! 'chuckle'/'laugh'
Action 108	Action108	! 'shake'/'yank' noun
Action 109	Action109	! 'fold' noun
Action 110	Action110	! 'mix'/'stir' noun
Action 111	Action111	! 'connect'/'join' noun 'to' noun
				! 'connect'/'join' noun 'with' noun
Action 112	Action112	! 'help'/'hint'
Action 113	Action113	! 'plover'/'plugh'/'treasure'/'xyzzy'/'yoho'
Action 114	Action114	! 'beg'
Action 115	Action115	! 'meditate'

Word	accessory	accessory
Word	alligator	alligator
Word	artifacts	artifacts
Word	atmospher	atmospher
Word	auditoriu	auditoriu
Word	barbarian	barbarian
Word	barricade	barricade
Word	bartender	bartender
Word	blackened	blackened
Word	bookshelf	bookshelf
Word	bookshelv	bookshelv
Word	briefcase	briefcase
Word	buildings	buildings
Word	carbonari	carbonari
Word	carpeting	carpeting
Word	chandelie	chandelie
Word	character	character
Word	christmas	christmas
Word	classifie	classifie
Word	cobblesto	cobblesto
Word	contrapti	contrapti
Word	counterto	counterto
Word	countrysi	countrysi
Word	courtyard	courtyard
Word	crunchies	crunchies
Word	crystalli	crystalli
Word	depressio	depressio
Word	dignitari	dignitari
Word	diplomats	diplomats
Word	doctrines	doctrines
Word	dornberri	dornberri
Word	dornflake	dornflake
Word	droppings	droppings
Word	duncanthr	duncanthr
Word	enchanter	enchanter
Word	engraving	engraving
Word	entrancew	entrancew
Word	equipment	equipment
Word	everythin	everythin
Word	farmhouse	farmhouse
Word	fettucini	fettucini
Word	floorboar	floorboar
Word	flour-co	flour-co
Word	foodstuff	foodstuff
Word	foundatio	foundatio
Word	frighteni	frighteni
Word	fullscore	fullscore
Word	furnishin	furnishin
Word	furniture	furniture
Word	gemstones	gemstones
Word	gentleman	gentleman
Word	glass-li	glass-li
Word	grassland	grassland
Word	greenhous	greenhous
Word	griffspot	griffspot
Word	ground-c	ground-c
Word	gue-auto	gue-auto
Word	headdress	headdress
Word	headlines	headlines
Word	illegible	illegible
Word	implement	implement
Word	instructi	instructi
Word	instructo	instructo
Word	inventory	inventory
Word	lettering	lettering
Word	librarian	librarian
Word	lighthous	lighthous
Word	limestone	limestone
Word	machinery	machinery
Word	magistrat	magistrat
Word	moderness	moderness
Word	mountains	mountains
Word	navy-blu	navy-blu
Word	newspaper	newspaper
Word	northeast	northeast
Word	northwest	northwest
Word	nothingne	nothingne
Word	parchment	parchment
Word	pen-mark	pen-mark
Word	peninsula	peninsula
Word	politicia	politicia
Word	preparing	preparing
Word	reception	reception
Word	rectangle	rectangle
Word	reflected	reflected
Word	refrigera	refrigera
Word	residence	residence
Word	royal-bl	royal-bl
Word	sandstone	sandstone
Word	scripture	scripture
Word	seventeen	seventeen
Word	shipwreck	shipwreck
Word	shoreline	shoreline
Word	silhouett	silhouett
Word	silverman	silverman
Word	situation	situation
Word	skyscrape	skyscrape
Word	southeast	southeast
Word	southwest	southwest
Word	spellbook	spellbook
Word	staircase	staircase
Word	stephanie	stephanie
Word	structure	structure
Word	substance	substance
Word	sugar-co	sugar-co
Word	sugarglob	sugarglob
Word	superbrie	superbrie
Word	tapestrie	tapestrie
Word	telescope	telescope
Word	trappings	trappings
Word	tribesman	tribesman
Word	tuffberry	tuffberry
Word	vegetatio	vegetatio
Word	waterfall	waterfall
Word	waterfron	waterfron

Routine 0xc5ac	routine50604:?
Routine 0xc5b4	routine50612:?
Routine 0xc684	routine50820:?
Routine 0xc7e4	routine51172:?
Routine 0xd690	routine54928:?
Routine 0xd748	routine55112:?
Routine 0xd87c	routine55420:?
Routine 0xd898	routine55448:?
Routine 0xdde0	routine56800:?
Routine 0xe1a4	routine57764:?
Routine 0xe570	routine58736:?
Routine 0xe6bc	routine59068:?
Routine 0xe874	routine59508:?
Routine 0xe910	routine59664:?
Routine 0xea14	routine59924:?
Routine 0xead0	routine60112:?
Routine 0xeb10	routine60176:?
Routine 0xeb48	routine60232:?
Routine 0xeb98	routine60312:?
Routine 0xebc0	routine60352:?
Routine 0xebe4	routine60388:?
Routine 0xec14	routine60436:?
Routine 0xec70	routine60528:?
Routine 0xec88	routine60552:?
Routine 0xeca4	routine60580:?
Routine 0xeddc	routine60892:?
Routine 0xee20	routine60960:?
Routine 0xef2c	routine61228:?
Routine 0xef54	routine61268:?
Routine 0xeff0	routine61424:?
Routine 0xf150	routine61776:?
Routine 0xf18c	routine61836:?
Routine 0xf1d4	routine61908:?
Routine 0xf1f4	routine61940:?
Routine 0xf230	routine62000:?
Routine 0xf280	routine62080:?
Routine 0xf298	routine62104:?
Routine 0xf2b0	routine62128:?
Routine 0xf2c0	routine62144:?
Routine 0xf3d0	routine62416:?
Routine 0xf3f8	routine62456:?
Routine 0xf400	routine62464:?
Routine 0xf41c	routine62492:?
Routine 0xf454	routine62548:?
Routine 0xf488	routine62600:?
Routine 0xf508	routine62728:?
Routine 0xf528	routine62760:?
Routine 0xf5f8	routine62968:?
Routine 0xf614	routine62996:?
Routine 0xf628	routine63016:?
Routine 0xf678	routine63096:?
Routine 0xfa24	routine64036:?
Routine 0xfa40	routine64064:?
Routine 0xfa94	routine64148:?
Routine 0xfadc	routine64220:?
Routine 0xfb30	routine64304:?
Routine 0xfb74	routine64372:?
Routine 0xfbd8	routine64472:?
Routine 0xfbe8	routine64488:?
Routine 0xfcbc	routine64700:?
Routine 0xff1c	routine65308:?
Routine 0xff50	routine65360:?
Routine 0xff80	routine65408:?
Routine 0xffac	routine65452:?
Routine 0x10028	routine65576:?
Routine 0x10060	routine65632:?
Routine 0x100c8	routine65736:?
Routine 0x100ec	routine65772:?
Routine 0x101bc	routine65980:?
Routine 0x10210	routine66064:?
Routine 0x10258	routine66136:?
Routine 0x102f8	routine66296:?
Routine 0x10314	Action12Sub:?
Routine 0x1036c	routine66412:?
Routine 0x10428	routine66600:?
Routine 0x10438	routine66616:?
Routine 0x10468	routine66664:?
Routine 0x10480	routine66688:?
Routine 0x10490	routine66704:?
Routine 0x104a0	routine66720:?
Routine 0x104f0	routine66800:?
Routine 0x105a8	routine66984:?
Routine 0x10638	Action15Sub:?
Routine 0x1067c	routine67196:?
Routine 0x107e0	routine67552:?
Routine 0x10840	routine67648:?
Routine 0x10900	routine67840:?
Routine 0x1092c	routine67884:?
Routine 0x10998	routine67992:?
Routine 0x109ec	routine68076:?
Routine 0x10a54	routine68180:?
Routine 0x10ac0	routine68288:?
Routine 0x11094	routine69780:?
Routine 0x110e8	routine69864:?
Routine 0x11414	routine70676:?
Routine 0x11488	routine70792:?
Routine 0x114c8	routine70856:?
Routine 0x114d8	routine70872:?
Routine 0x11518	Action2Sub:?
Routine 0x1152c	Action4Sub:?
Routine 0x11544	Action3Sub:?
Routine 0x11560	Action6Sub:?
Routine 0x1157c	Action5Sub:?
Routine 0x11594	Action7Sub:?
Routine 0x115c0	Action8Sub:?
Routine 0x115e8	Action13Sub:?
Routine 0x115f4	Action14Sub:?
Routine 0x11600	Action16Sub:?
Routine 0x11650	Action17Sub:?
Routine 0x11720	Action0Sub:?
Routine 0x1172c	routine71468:?
Routine 0x1174c	routine71500:?
Routine 0x11788	Action1Sub:?
Routine 0x117f4	Action40Sub:?
Routine 0x11804	Action39Sub:?
Routine 0x11818	Action24Sub:?
Routine 0x11870	Action19Sub:?
Routine 0x118c0	routine71872:?
Routine 0x11a60	Action28Sub:?
Routine 0x11ab8	Action20Sub:?
Routine 0x11b24	routine72484:?
Routine 0x11b38	Action27Sub:?
Routine 0x11c34	Action31Sub:?
Routine 0x11cf8	Action29Sub:?
Routine 0x11d00	Action30Sub:?
Routine 0x11d74	Action34Sub:?
Routine 0x11dac	Action33Sub:?
Routine 0x11db8	Action36Sub:?
Routine 0x11dec	Action35Sub:?
Routine 0x11df8	Action21Sub:?
Routine 0x11e78	Action23Sub:?
Routine 0x11e90	Action18Sub:?
Routine 0x11f0c	Action37Sub:?
Routine 0x11f14	Action50Sub:?
Routine 0x11f1c	Action38Sub:?
Routine 0x1207c	routine73852:?
Routine 0x120b4	routine73908:?
Routine 0x12200	Action11Sub:?
Routine 0x12210	Action10Sub:?
Routine 0x12220	Action9Sub:?
Routine 0x12230	routine74288:?
Routine 0x12254	routine74324:?
Routine 0x1226c	Action41Sub:?
Routine 0x1236c	Action42Sub:?
Routine 0x123c4	Action44Sub:?
Routine 0x123dc	Action43Sub:?
Routine 0x12478	Action47Sub:?
Routine 0x124c4	Action65Sub:?
Routine 0x1251c	Action64Sub:?
Routine 0x12554	Action49Sub:?
Routine 0x1258c	Action46Sub:?
Routine 0x125f0	Action48Sub:?
Routine 0x12628	Action22Sub:?
Routine 0x12654	Action25Sub:?
Routine 0x126a0	Action72Sub:?
Routine 0x126cc	Action51Sub:?
Routine 0x126d4	Action52Sub:?
Routine 0x126dc	Action92Sub:?
Routine 0x126e4	Action82Sub:?
Routine 0x126ec	Action83Sub:?
Routine 0x12700	Action85Sub:?
Routine 0x12708	Action86Sub:?
Routine 0x12710	Action87Sub:?
Routine 0x12718	Action88Sub:?
Routine 0x12720	Action98Sub:?
Routine 0x12728	Action95Sub:?
Routine 0x12730	Action96Sub:?
Routine 0x12738	Action97Sub:?
Routine 0x12740	Action91Sub:?
Routine 0x12748	Action93Sub:?
Routine 0x12750	Action94Sub:?
Routine 0x12758	Action53Sub:?
Routine 0x12760	Action55Sub:?
Routine 0x12768	Action78Sub:?
Routine 0x12770	Action79Sub:?
Routine 0x12778	Action80Sub:?
Routine 0x12780	Action90Sub:?
Routine 0x12788	Action58Sub:?
Routine 0x12790	Action59Sub:?
Routine 0x12798	Action56Sub:?
Routine 0x127a0	Action76Sub:?
Routine 0x127a8	Action74Sub:?
Routine 0x127b0	Action75Sub:?
Routine 0x127b8	Action73Sub:?
Routine 0x127c0	Action45Sub:?
Routine 0x127cc	Action89Sub:?
Routine 0x127f0	Action57Sub:?
Routine 0x1280c	Action60Sub:?
Routine 0x12840	Action61Sub:?
Routine 0x12874	Action63Sub:?
Routine 0x128a8	Action67Sub:?
Routine 0x128bc	Action62Sub:?
Routine 0x128c4	routine75972:?
Routine 0x12904	Action77Sub:?
Routine 0x1291c	Action32Sub:?
Routine 0x1295c	Action66Sub:?
Routine 0x12978	Action84Sub:?
Routine 0x1299c	Action68Sub:?
Routine 0x129b0	Action69Sub:?
Routine 0x129d4	Action70Sub:?
Routine 0x129e8	Action71Sub:?
Routine 0x12a00	routine76288:?
Routine 0x12a1c	routine76316:?
Routine 0x14160	routine82272:?
Routine 0x141e4	routine82404:?
Routine 0x14228	routine82472:?
Routine 0x14274	routine82548:?
Routine 0x142f8	routine82680:?
Routine 0x143e0	routine82912:?
! References: obj133_coin.prop31, obj148_coin.prop31, obj157_coin.prop31, obj158_coin.prop31, obj170_coin.prop31, obj402_coin.prop31, obj443_coin.prop31, obj444_coin.prop31, obj445_coin.prop31, obj446_coin.prop31, obj447_coin.prop31, obj448_coin.prop31, obj449_coin.prop31, obj450_coin.prop31, obj451_coin.prop31, obj452_coin.prop31, obj460_coin.prop31, obj461_coin.prop31, obj462_coin.prop31, obj463_coin.prop31, obj464_coin.prop31, obj465_coin.prop31, obj466_coin.prop31, obj467_coin.prop31, obj468_coin.prop31, obj469_coin.prop31, obj470_coin.prop31, obj471_coin.prop31, obj472_coin.prop31, obj473_coin.prop31, obj474_coin.prop31, obj475_coin.prop31, obj476_coin.prop31, obj477_coin.prop31, obj478_coin.prop31, obj479_coin.prop31, obj518_coin.prop31, obj614_coin.prop31, obj665_coin.prop31, obj732_coin.prop31, obj733_coin.prop31, obj734_coin.prop31, obj757_coin.prop31
Routine 0x144c4	routine83140:?
Routine 0x14518	routine83224:?
! References: obj17_copy_a_chant_into_your_prayer_book.prop30, obj19_cause_an_object_to_give_off_light.prop30, obj44_deliver_magnificent_sermon__glue_audience_to_seats_.prop30, obj50_deliver_dull_sermon__cause_sleep_.prop30, obj81_banish_spirit.prop30, obj154_create_waxy_build_up_on_wood.prop30, obj156_triplicate_object.prop30, obj372_detect_forgery.prop30, obj436_make_boat_sea_worthy.prop30, obj438_call_lightning_from_storm.prop30, obj440_allow_creature_to_resist_gravity.prop30, obj501_turn_iron_to_rust.prop30, obj604_fold_dough_83_times.prop30, obj606_heal_wounds.prop30, obj653_send_object_to_higher_plane.prop30, obj655_grow_plant.prop30, obj689_turn_granite_to_pasta.prop30, obj802_turn_undead.prop30, obj805_send_object_to_lower_plane.prop30
Routine 0x14524	routine83236:?
Routine 0x14534	routine83252:?
Routine 0x14560	routine83296:?
! References: obj17_copy_a_chant_into_your_prayer_book.prop34
Routine 0x14860	routine84064:?
Routine 0x14a60	routine84576:?
! References: obj18_prayer_book.prop5
Routine 0x14b20	routine84768:?
! References: obj43_dusty_scroll.prop31, obj49_folded_scroll.prop31, obj80_dirty_scroll.prop31, obj153_waxy_scroll.prop31, obj155_sugar_coated_scroll.prop31, obj371_crumpled_scroll.prop31, obj435_musty_scroll.prop31, obj437_pale_scroll.prop31, obj439_glossy_scroll.prop31, obj500_spotted_scroll.prop31, obj603_flour_coated_scroll.prop31, obj605_pen_marked_scroll.prop31, obj652_white_scroll.prop31, obj654_muddy_scroll.prop31, obj688_gray_scroll.prop31, obj801_fancy_scroll.prop31, obj804_red_scroll.prop31
Routine 0x14b74	routine84852:?
Routine 0x14bdc	routine84956:?
! References: obj43_dusty_scroll.prop15, obj49_folded_scroll.prop15, obj80_dirty_scroll.prop15, obj153_waxy_scroll.prop15, obj155_sugar_coated_scroll.prop15, obj371_crumpled_scroll.prop15, obj435_musty_scroll.prop15, obj437_pale_scroll.prop15, obj439_glossy_scroll.prop15, obj500_spotted_scroll.prop15, obj603_flour_coated_scroll.prop15, obj605_pen_marked_scroll.prop15, obj652_white_scroll.prop15, obj654_muddy_scroll.prop15, obj688_gray_scroll.prop15, obj801_fancy_scroll.prop15, obj804_red_scroll.prop15
Routine 0x14c2c	routine85036:?
Routine 0x14c70	routine85104:?
Routine 0x14cf4	Action100Sub:?
Routine 0x14cfc	Action101Sub:?
Routine 0x14d3c	Action102Sub:?
Routine 0x14d48	routine85320:?
Routine 0x14dc0	Action103Sub:?
Routine 0x14ed4	routine85716:?
Routine 0x14ef4	routine85748:?
Routine 0x15064	routine86116:?
Routine 0x15080	routine86144:?
Routine 0x150a8	routine86184:?
! References: obj19_cause_an_object_to_give_off_light.prop34
Routine 0x150c0	routine86208:?
Routine 0x1518c	routine86412:?
Routine 0x151a4	routine86436:?
Routine 0x15204	routine86532:?
Routine 0x1520c	routine86540:?
! References: obj24_sleeping_pallet.prop11
Routine 0x15934	routine88372:?
Routine 0x15960	routine88416:?
! References: obj32_Entrance_Hall.prop5
Routine 0x159a0	routine88480:?
Routine 0x159d4	routine88532:?
Routine 0x15af0	routine88816:?
! References: obj36_Joseph.prop21
Routine 0x15b10	routine88848:?
Routine 0x15b28	routine88872:?
Routine 0x160bc	routine90300:?
Routine 0x160e8	routine90344:?
Routine 0x1637c	routine91004:?
Routine 0x163d4	routine91092:?
Routine 0x16400	routine91136:?
Routine 0x16468	routine91240:?
! References: obj40_Brother_Palemon_s_Quarters.prop10
Routine 0x16500	routine91392:?
Routine 0x1651c	routine91420:?
! References: obj44_deliver_magnificent_sermon__glue_audience_to_seats_.prop34
Routine 0x165c8	routine91592:?
! References: obj50_deliver_dull_sermon__cause_sleep_.prop34
Routine 0x16654	routine91732:?
Routine 0x16700	routine91904:?
Routine 0x16c44	routine93252:?
Routine 0x16d14	routine93460:?
Routine 0x16d90	routine93584:?
! References: obj60_steeple_window.prop21
Routine 0x16dc4	routine93636:?
! References: obj60_steeple_window.prop10
Routine 0x16e68	routine93800:?
Routine 0x16e74	routine93812:?
Routine 0x16e80	routine93824:?
Routine 0x17018	routine94232:?
Routine 0x17058	routine94296:?
Routine 0x1708c	routine94348:?
Routine 0x170b0	routine94384:?
Routine 0x170fc	routine94460:?
Routine 0x1713c	routine94524:?
Routine 0x17160	routine94560:?
! References: obj72_trapdoor.prop21
Routine 0x17218	routine94744:?
Routine 0x17254	routine94804:?
! References: obj73_trapdoor.prop21
Routine 0x17280	routine94848:?
Routine 0x172bc	routine94908:?
Routine 0x172e4	routine94948:?
! References: obj74_Cave_Intersection.prop12
Routine 0x173ac	routine95148:?
Routine 0x173bc	routine95164:?
Routine 0x17498	routine95384:?
Routine 0x17518	routine95512:?
! References: obj78_Mountain_Peak.prop10
Routine 0x17618	routine95768:?
Routine 0x17640	routine95808:?
Routine 0x1776c	routine96108:?
Routine 0x177c0	routine96192:?
Routine 0x17968	routine96616:?
Routine 0x17aa4	routine96932:?
! References: obj81_banish_spirit.prop34
Routine 0x17ae8	routine97000:?
Routine 0x17b34	routine97076:?
Routine 0x17bb0	routine97200:?
! References: obj87_Top_of_Snowy_Slope.prop15
Routine 0x17c68	routine97384:?
Routine 0x17c7c	routine97404:?
Routine 0x17ca4	routine97444:?
Routine 0x17d3c	routine97596:?
Routine 0x17d80	routine97664:?
Routine 0x17dc8	routine97736:?
Routine 0x17e90	routine97936:?
Routine 0x17f80	routine98176:?
Routine 0x18048	routine98376:?
Routine 0x180d4	routine98516:?
Routine 0x181c8	routine98760:?
Routine 0x18274	routine98932:?
Routine 0x18284	routine98948:?
Routine 0x18350	routine99152:?
Routine 0x18360	routine99168:?
Routine 0x18440	routine99392:?
! References: obj108_General_Store.prop5
Routine 0x1848c	routine99468:?
Routine 0x184bc	routine99516:?
Routine 0x18600	routine99840:?
Routine 0x1870c	routine100108:?
Routine 0x1878c	routine100236:?
! References: obj112_North_end_of_Hallway.prop5
Routine 0x187ac	routine100268:?
Routine 0x187f8	routine100344:?
Routine 0x18820	routine100384:?
! References: obj113_South_end_of_Hallway.prop5
Routine 0x188ac	routine100524:?
Routine 0x188f8	routine100600:?
Routine 0x18920	routine100640:?
Routine 0x189c4	routine100804:?
