! Auto-generated by Reform.

MD5	aaf0b90fbb31717481c02832bf412070
				!  noun 'in' scope=routine161808
				! 'remove' multi
				! 'remove' noun 'with' scope=routine161808
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'pick' noun 'up' 'with' scope=routine161808
				! 'pick' 'up' noun 'with' scope=routine161808
				! 'pick' noun 'up' 'in' scope=routine161808
				! 'pick' 'up' noun 'in' scope=routine161808
				! 'peel' noun
				! 'peel' 'off' noun
				! 'peel' noun 'with' scope=routine161808
				!  multi
				!  noun 'with' scope=routine161808
				!  noun 'in' scope=routine161808
Action 81	Think		! 'consider'/'contempla'
				! 'consider'/'contempla' topic
				! 'consider'/'contempla' 'about' topic
				! 'think'
				! 'think' 'about' topic
Action 82	ThrowAt		! 'toss' noun 'at'/'against'/'on'/'onto' noun
				! 'throw' noun 'at'/'against'/'on'/'onto' noun
				! 'discard'/'drop' held 'at'/'against'/'on'/'onto' noun
Action 83	Touch		! 'pet'/'scratch' noun
				! 'reach' 'into'/'in' noun
				! 'reach' 'into'/'in' noun 'with' scope=routine161808
				! 'feel'/'fondle'/'grope'/'touch' noun
				! 'feel'/'fondle'/'grope'/'touch' noun 'with' scope=routine161808
				! 'feel'/'fondle'/'grope'/'touch' 'in'/'inside' noun
				! 'feel'/'fondle'/'grope'/'touch' 'in'/'inside' noun 'with' scope=routine161808
				! 'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'with' scope=routine161808
Action 84	Unlock		! 'unlock' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' 'apart'/'open' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'apart'/'open' 'with' held
Action 85	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 86	Verify		! 'verify'
Action 87	Wait		! 'relax'/'rest'
				! 'wait'/'z//'
Action 88	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 89	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 92	Wear		! 'don'/'wear' held
				! 'put' 'on' held
Action 93	AskTo		! 'tell' creature 'to' topic
				! 'ask' creature 'to' topic
				! 'ask' 'that' creature topic
Action 94	AskFor		! 'a//'/'t//' creature 'for' scope=routine161848
				! 'ask' creature 'for' scope=routine161848
Action 95	Talk		! 'complain' 'to'/'at' creature 'about' scope=routine161536
				! 'complain' 'about' scope=routine161536
				! 'a//'/'t//' scope=routine161536
				! 'a//'/'t//' creature 'about' scope=routine161536
				! 'a//'/'t//' creature 'about'/'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'a//'/'t//' creature 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'a//'/'t//' 'to' creature 'about' scope=routine161536
				! 'a//'/'t//' 'to' creature 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'a//'/'t//' 'about' scope=routine161536
				! 'a//'/'t//' 'about'/'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'a//'/'t//' 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'talk' 'to' creature 'about' scope=routine161536
				! 'talk' 'to' creature 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'talk' 'about' scope=routine161536
				! 'talk' 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'talk' scope=routine161536
				! 'tell' creature 'about' scope=routine161536
				! 'tell' 'about'/'who'/'what'/'where'/'when'/'how'/'if'/'that' scope=routine161536
				! 'tell' 'about' 'who'/'what'/'where'/'when'/'how'/'if'/'that' scope=routine161536
				! 'tell' creature 'about' 'who'/'what'/'where'/'when'/'how'/'if'/'that' scope=routine161536
				! 'tell' creature scope=routine161536
				! 'tell' scope=routine161536 'to' creature
				! 'tell' creature 'about'/'who'/'what'/'where'/'when'/'how'/'if'/'that' scope=routine161536
				! 'ask' creature 'about' scope=routine161536
				! 'ask' 'about'/'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'ask' 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'ask' creature 'about' 'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
				! 'ask' creature scope=routine161536
				! 'ask' creature 'about'/'who'/'what'/'where'/'when'/'how'/'if' scope=routine161536
Action 96	Greet		! 'greet'/'hello'/'hi'
				! 'greet'/'hello'/'hi' creature
				! 'a//'/'t//'
				! 'a//'/'t//' 'to' creature
				! 'talk'
				! 'talk' 'to' creature
				! 'answer' 'to' creature
				! 'say'/'speak' 'to' creature
				! 'wave'
				! 'wave' 'at'/'to' creature
Action 97	Shout		! 'arr'/'arrr'/'arrrr'/'growl'/'grr'/'grrr'/'grrrr'/'rar'/'rarr'/'rarrr'/'roar'/'rrr'/'rrrr'/'scream'/'yell'
				! 'arr'/'arrr'/'arrrr'/'growl'/'grr'/'grrr'/'grrrr'/'rar'/'rarr'/'rarrr'/'roar'/'rrr'/'rrrr'/'scream'/'yell' 'at' creature
				! 'shout'
				! 'shout' 'at'/'to' creature
Action 98	Oink		! 'snort'
				! 'grunt'/'knio'/'oink'/'squeal'
				! 'grunt'/'knio'/'oink'/'squeal' 'at' creature
				! 'a//'/'t//' 'piglish'
				! 'a//'/'t//' 'piglish' 'at'/'to' creature
				! 'talk' 'piglish'
				! 'talk' 'piglish' 'at'/'to' creature
Action 102	Seek		! 'goto' scope=routine161888
				! 'goto' noun
				! 'find'/'follow'/'seek' scope=routine161888
				! 'find'/'follow'/'seek' noun
				! 'search' 'for' scope=routine161888
				! 'search' 'for' noun
				! 'l//'/'look' 'for' scope=routine161888
				! 'l//'/'look' 'for' noun
				! 'go'/'run'/'walk' 'to' scope=routine161888
				! 'go'/'run'/'walk' 'to' noun
				! 'go'/'run'/'walk' 'back' 'to' scope=routine161888
				! 'go'/'run'/'walk' 'back' 'to' noun
				! 'go'/'run'/'walk' scope=routine161888
				! 'go'/'run'/'walk' noun
Action 103	Extinguish	! 'douse'/'extinguis'/'smother' noun
				! 'douse'/'extinguis'/'smother' noun 'with'/'in' noun
				! 'put' 'out' noun
				! 'put' 'out' noun 'with'/'in' noun
				! 'put' noun 'out'
				! 'put' noun 'out' 'with'/'in' noun
				! 'blow' 'out' noun
				! 'blow' noun 'out'
Action 104	TouchWith	! 'reach' noun 'with' held
				! 'point' 'at' noun 'with' held
				! 'point' held 'at' noun
				! 'feel'/'fondle'/'grope'/'touch' noun 'with' held
				! 'feel'/'fondle'/'grope'/'touch' held 'to' noun
				! 'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'with' held
				! 'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' held 'on'/'over'/'across' noun
				! 'clear'/'move'/'press'/'push'/'shift' noun 'with' held
Action 105	Pour		! 'pour' noun 'onto'/'on' noun
				! 'pour' 'out' noun 'onto'/'on' noun
Action 106	Clean		! 'wash' noun
				! 'wash' noun 'with'/'in' noun
				! 'clean' noun
				! 'clean' noun 'with'/'in' noun
Action 107	Empty		! 'pour' noun
				! 'pour' 'out' noun
				! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 108	Spit		! 'drool'/'spit'
				! 'drool'/'spit' 'at'/'in'/'on' noun
Action 109	AttackWith	! 'beat'/'kick'/'poke'/'prod'/'slap'/'spank' noun 'with' held
				! 'beat'/'kick'/'poke'/'prod'/'slap'/'spank' held 'at' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'murder'/'punch'/'smash'/'thump'/'wreck' noun 'with' held
Action 110	TakeWith	! 'get' noun 'with' held
				! 'get' noun 'in' held
				! 'catch'/'grab'/'pin'/'steal'/'swipe'/'trap' noun 'with' held
				! 'take' noun 'with' held
				! 'take' noun 'in' held
				!  noun 'with' held
				!  noun 'in' held
				! 'remove' noun 'with' held
				! 'pick' 'up' noun 'with' held
				! 'pick' noun 'up' 'with' held
				! 'pick' 'up' noun 'in' held
				! 'pick' noun 'up' 'in' held
				! 'peel' noun 'with' held
				!  noun 'with' held
				!  noun 'in' held
Action 111	Play		! 'play'
				! 'play' noun
				! 'play' 'with'/'on'/'in' noun
Action 112	Goodbye		! 'good' 'bye'
				! 'bye'/'farewell'/'good-bye'/'goodbye'
Action 113	Smile		! 'grin'/'smile'/'smirk'
				! 'grin'/'smile'/'smirk' 'at'/'to' creature
Action 114	Frown		! 'cry'/'frown'/'grimace'/'scowl'/'sniffle'/'sob'
				! 'cry'/'frown'/'grimace'/'scowl'/'sniffle'/'sob' 'at'/'to' creature
Action 115	Ztorf		! 'ztorf'
				!  'ztorf'
Action 116	Zobleb		! 'zobleb'
				!  'zobleb'
Action 117	Thank		! 'thank'/'thanks'
				! 'thank'/'thanks' creature
				! 'thank'/'thanks' 'you'
				! 'thank'/'thanks' 'you' creature
Action 118	Grumble		! 'complain' 'to'/'at' creature
				! 'bah'/'grumble'/'sigh'
				! 'bah'/'grumble'/'sigh' 'at'/'to' creature
Action 119	Threaten	! 'scare'/'threaten' creature
Action 120	Call		! 'call' noun
				! 'call' scope=routine161888
				! 'call' 'to'/'for' noun
				! 'call' 'to'/'for' scope=routine161888
				! 'shout' 'for' noun
				! 'shout' 'for' scope=routine161888
Action 121	Count		! 'count' noun
Action 122	Flip		! 'flip' held
Action 123	Splash		! 'drown'/'splash' creature
				! 'drown'/'splash' creature 'with'/'in' noun
				! 'drown'/'splash' noun 'on'/'at' creature
Action 124	Kill		! 'torture' creature 'with' scope=routine161808
				! 'torture' creature 'with' held
				! 'kill' creature
				! 'kill' creature 'with' scope=routine161808
				! 'kill' creature 'with' held
Action 125	Chase		! 'chase' noun
				! 'chase' 'after' noun
				! 'chase' noun noun
Action 126	Swallow		! 'swallow' noun
Action 127	Yawn		! 'yawn'
Action 128	BodilyFunction	! 'burp'/'fart'
Action 129	Menu		! 'about'/'author'/'clue'/'clues'/'credit'/'credits'/'help'/'hint'/'hints'/'info'/'menu'/'walkthrou'/'walkthru'
Action 130	Warm		! 'heat'/'warm' 'up' noun
				! 'heat'/'warm' noun 'up'
				! 'heat'/'warm' noun
				! 'heat'/'warm' 'up' noun 'with' held
				! 'heat'/'warm' noun 'up' 'with' held
				! 'heat'/'warm' noun 'with' held
				! 'heat'/'warm' 'up' held 'with' noun
				! 'heat'/'warm' held 'up' 'with' noun
				! 'heat'/'warm' held 'with' noun
Action 131	WarmSelf	! 'heat'/'warm' 'up'
				! 'heat'/'warm' 'up' 'by' noun
				! 'heat'/'warm' 'up' 'over' 'by' noun
				! 'heat'/'warm' 'up' 'with' noun
Action 132	Stand		! 'back'
				! 'back' 'up'
				! 'back' 'back'
				! 'back' 'away' 'from' noun
				! 'step'
				! 'step' 'up'
				! 'step' 'back'
				! 'step' 'away' 'from' noun
				! 'step' 'near' noun
				! 'step' 'next' 'to' noun
				! 'stand'
				! 'stand' 'up'
				! 'stand' 'back'
				! 'stand' 'by'
				! 'stand' 'by' noun
				! 'stand' 'away' 'from' noun
				! 'stand' 'near' noun
				! 'stand' 'next' 'to' noun
Action 133	Tear		! 'rip'/'tear' noun
				! 'rip'/'tear' noun 'with' scope=routine161808
				! 'chop'/'cut'/'prune'/'slice' noun 'with' scope=routine161808
Action 134	TearWith	! 'rip'/'tear' noun 'with' held
				! 'chop'/'cut'/'prune'/'slice' noun 'with' held
Action 135	Throw		! 'toss' held
				! 'throw' held
Action 136	Draw		! 'draw' noun
				! 'draw' noun 'with' noun
				! 'draw' topic
Action 137	StandOn		! 'step' 'on'/'onto' noun
				! 'stand' 'on' noun
				! 'hop'/'jump'/'skip' 'on'/'at' noun
Action 138	Repair		! 'repair' noun
				! 'fix' noun
Action 139	Declaim		! 'declaim'/'deliver'
				! 'declaim'/'deliver' 'monologue'/'monologue'
				! 'declaim'/'deliver' 'monologue'/'monologue' 'to' 'wall'
				! 'declaim'/'deliver' 'monologue'/'monologue' 'at' 'wall'
				! 'declaim'/'deliver' 'monologue'/'monologue' 'from' 'table'/'tabletop'/'top'
				! 'declaim'/'deliver' 'from' 'table'/'tabletop'
				! 'declaim'/'deliver' 'from' 'table' 'top'
				! 'declaim'/'deliver' 'to' 'wall'
				! 'declaim'/'deliver' 'at' 'wall'
Action 140	UnlockKeyless	! 'unlock' noun
Action 141	LockKeyless	! 'lock' noun
Action 142	GoIn		! 'in'/'inside'
				! 'enter'
Action 143	Cough		! 'cough'
Action 144	Groan		! 'groan'/'ugh'/'ugh!'/'uh'/'um'
				! 'groan'/'ugh'/'ugh!'/'uh'/'um' topic
Action 145	Xyzzy		! 'frotz'/'plover'/'plugh'/'rezrov'/'wazzum'/'xyzzy'/'yoho'/'zarf'/'zork'
				! 'frotz'/'plover'/'plugh'/'rezrov'/'wazzum'/'xyzzy'/'yoho'/'zarf'/'zork' topic
				!  'xyzzy'/'plover'/'plugh'/'frotz'/'rezrov'/'yoho'/'zork'/'wazzum'/'zarf'
				!  'xyzzy'/'plover'/'plugh'/'frotz'/'rezrov'/'yoho'/'zork'/'wazzum'/'zarf' topic
Action 146	Dry		! 'dry' noun
				! 'dry' 'off' noun
				! 'dry' noun 'off'
				! 'dry' held 'with' noun
				! 'dry' 'off' held 'with' noun
				! 'dry' held 'off' 'with' noun
				! 'dry' noun 'with' held
				! 'dry' 'off' noun 'with' held
				! 'dry' noun 'off' 'with' held
				! 'dry' held 'on' noun
				! 'dry' held 'off' 'on' noun
				! 'dry' noun 'on' held
				! 'dry' noun 'off' 'on' held
Action 147	Topics		! 'topic'/'topics'
				! 'topic'/'topics' creature
Action 148	Version		! 'version'
Action 149	InvTall		! 'i//' 'tall'
				! 'inv'/'inventory' 'tall'
Action 150	InvWide		! 'i//' 'wide'
				! 'inv'/'inventory' 'wide'
Action 151	Read		! 'read' noun
Action 152	Laugh		! 'ha'/'ha!'/'haw'/'hee'/'laugh'
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' noun
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'at' noun
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'ha!'/'hee'
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' noun
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'ha!'/'hee'
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'ha!'/'hee' noun
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'ha!'/'hee'
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'ha!'/'hee' noun
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'ha!'/'hee'
				! 'ha'/'ha!'/'haw'/'hee'/'laugh' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' 'ha'/'haw'/'hee' noun
				! 'stick' 'out' 'tongue'
				! 'stick' 'tongue' 'out'
				! 'stick' 'out' 'tongue' 'at' noun
				! 'stick' 'tongue' 'out' 'at' noun
Action 153	Hold		! 'carry' multi
				! 'hold' multi
				! 'equip'/'wield' noun
Action 154	PushIn		! 'clear'/'move'/'press'/'push'/'shift' noun 'in'/'into'/'to'/'toward' noun
Action 155	DrinkNounless	! 'drink'/'sip'
Action 156	TellYes		! 'answer' creature
Action 157	AskForNounless	! 'a//'/'t//' 'for' scope=routine161848
				! 'ask' 'for' scope=routine161848
Action 158	LookBehind	! 'l//'/'look' 'behind' noun
Action 159	NodAt		! 'nod'/'ok'/'sure'/'yeah'/'yup' 'at'/'to' creature
Action 160	ShowInanimate	! 'display'/'present'/'show' noun held
				! 'display'/'present'/'show' held 'to' noun
				! 'display'/'present'/'show' noun held
				! 'display'/'present'/'show' held 'to' noun
Action 161	Whistle		! 'whistle'
Action 162	GiveFakeMultiple ! 'give'/'offer'/'pay' topic 'and' topic
Action 163	Exits		! 'exits'
Action 164	Sneeze		! 'sneeze'
Action 165	Hide		! 'hide'
				! 'hide' 'behind'/'under'/'in' noun
				! 'get' 'behind'/'under'/'in' noun
				! 'go'/'run'/'walk' 'behind'/'under'/'in' noun
Action 166	Shrug		! 'i//' 'dont'/'don^t' 'know'/'know!'
				! 'i//' 'dunno'/'dunno!'
				! 'dunno'/'shrug'
Action 167	Stretch		! 'stretch'
				! 'stretch' 'out'
				! 'stretch' scope=routine161808
				! 'stretch' noun=routine162016
Action 168	SitAt		! 'lie'/'sit' 'at' noun
Action 169	Shake		! 'rock'/'shake' noun
Action 170	Smoke		! 'smoke' held
Action 171	Dance		! 'dance'
				! 'dance' 'with' creature
Action 172	Remember	! 'remember' topic
Action 173	Yay		! 'hooray'/'hurrah'/'hurray'/'woo'/'woohoo'/'wooo'/'woot'/'yay'
				! 'hooray'/'hurrah'/'hurray'/'woo'/'woohoo'/'wooo'/'woot'/'yay' 'for' noun
				! 'hooray'/'hurrah'/'hurray'/'woo'/'woohoo'/'wooo'/'woot'/'yay' noun
Action 174	OpenWith	! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 175	TopicsOn	! 'topic'/'topics' 'on'
Action 176	TopicsOff	! 'topic'/'topics' 'off'
Action 177	PawAt		! 'paw' noun
				! 'paw' 'at' noun
Action 178	Hiccup		! 'hiccough'/'hiccup'
Action 179	Earn		! 'earn' topic
Action 180	Fly		! 'fly'
				! 'fly' 'up'
				! 'fly' 'away'
Action 181	Excrete		! 'crap'/'pee'/'piss'/'poop'/'wee'/'wizz'
				! 'crap'/'pee'/'piss'/'poop'/'wee'/'wizz' 'on'/'in' noun
Action 182	Win		! 'win'
				! 'win' 'game'
				! 'win' 'story'
				! 'win' 'lost' 'pig'

Word	$#	$#
Word	.another	.another
Word	addiction	addiction
Word	addictive	addictive
Word	adventure	adventure
Word	adventuri	adventuri
Word	alchemica	alchemica
Word	alchemist	alchemist
Word	andouille	andouille
Word	apologise	apologise
Word	apologize	apologize
Word	arithmeti	arithmeti
Word	artefacts	artefacts
Word	artifacts	artifacts
Word	auto-bak	auto-bak
Word	autobaker	autobaker
Word	beautiful	beautiful
Word	bempiddle	bempiddle
Word	betateste	betateste
Word	betatesti	betatesti
Word	blackened	blackened
Word	blueberry	blueberry
Word	book-bin	book-bin
Word	breakfast	breakfast
Word	brickdata	brickdata
Word	brother'	brother'
Word	burn-pro	burn-pro
Word	burnproof	burnproof
Word	capturing	capturing
Word	caterwaul	caterwaul
Word	character	character
Word	chemistry	chemistry
Word	chromatic	chromatic
Word	classical	classical
Word	clevernes	clevernes
Word	competiti	competiti
Word	complaint	complaint
Word	complexes	complexes
Word	component	component
Word	confirmat	confirmat
Word	confusing	confusing
Word	container	container
Word	contempla	contempla
Word	contracto	contracto
Word	contrapti	contrapti
Word	corrosion	corrosion
Word	daffodils	daffodils
Word	daughters	daughters
Word	dehydrate	dehydrate
Word	different	different
Word	digestion	digestion
Word	digestive	digestive
Word	distillat	distillat
Word	distilled	distilled
Word	distillin	distillin
Word	economics	economics
Word	everythin	everythin
Word	experienc	experienc
Word	explorati	explorati
Word	exploring	exploring
Word	explosion	explosion
Word	extinguis	extinguis
Word	fade-pro	fade-pro
Word	fadeproof	fadeproof
Word	father's	father's
Word	fire-pro	fire-pro
Word	fireproof	fireproof
Word	footprint	footprint
Word	formidabl	formidabl
Word	four-ele	four-ele
Word	frebensal	frebensal
Word	fruitcake	fruitcake
Word	fullmetal	fullmetal
Word	fullscore	fullscore
Word	fundament	fundament
Word	galroggin	galroggin
Word	generator	generator
Word	gibberish	gibberish
Word	glassware	glassware
Word	good-bye	good-bye
Word	green-pa	green-pa
Word	greetings	greetings
Word	grumbling	grumbling
Word	harnessin	harnessin
Word	hermetica	hermetica
Word	hermetici	hermetici
Word	heterodyn	heterodyn
Word	hoofprint	hoofprint
Word	illustrio	illustrio
Word	implement	implement
Word	important	important
Word	impuritie	impuritie
Word	independe	independe
Word	informati	informati
Word	insatiabl	insatiabl
Word	inspirati	inspirati
Word	intellige	intellige
Word	interacti	interacti
Word	invention	invention
Word	inventory	inventory
Word	ironicall	ironicall
Word	jacquelin	jacquelin
Word	knowledge	knowledge
Word	lightning	lightning
Word	logarithm	logarithm
Word	maga_dog	maga_dog
Word	magnetism	magnetism
Word	malleabil	malleabil
Word	materials	materials
Word	mathemati	mathemati
Word	mechanics	mechanics
Word	micro-dr	micro-dr
Word	miscalcul	miscalcul
Word	mogglev'	mogglev'
Word	monologue	monologue
Word	moss-fur	moss-fur
Word	mossfures	mossfures
Word	mother's	mother's
Word	moustache	moustache
Word	muss-fur	muss-fur
Word	mysteriou	mysteriou
Word	mythology	mythology
Word	newsgroup	newsgroup
Word	nightshir	nightshir
Word	nighttime	nighttime
Word	northeast	northeast
Word	northwest	northwest
Word	oggropond	oggropond
Word	opportuni	opportuni
Word	opposites	opposites
Word	paintings	paintings
Word	paperwork	paperwork
Word	phenomena	phenomena
Word	pigprints	pigprints
Word	poke-her	poke-her
Word	principle	principle
Word	programme	programme
Word	programmi	programmi
Word	propensit	propensit
Word	propertie	propertie
Word	pyromania	pyromania
Word	qualities	qualities
Word	raszewski	raszewski
Word	recolorin	recolorin
Word	recolouri	recolouri
Word	recording	recording
Word	reference	reference
Word	relaxatio	relaxatio
Word	rhetorica	rhetorica
Word	rust-pro	rust-pro
Word	rustproof	rustproof
Word	schematic	schematic
Word	scientifi	scientifi
Word	scientist	scientist
Word	screwdriv	screwdriv
Word	searching	searching
Word	selective	selective
Word	smartness	smartness
Word	smudge-p	smudge-p
Word	smudgepro	smudgepro
Word	something	something
Word	southeast	southeast
Word	southwest	southwest
Word	spellbook	spellbook
Word	stalactit	stalactit
Word	stalagmit	stalagmit
Word	statue's	statue's
Word	storeroom	storeroom
Word	straighte	straighte
Word	strangely	strangely
Word	superbrie	superbrie
Word	supportin	supportin
Word	suspender	suspender
Word	tear-pro	tear-pro
Word	tearproof	tearproof
Word	teleporta	teleporta
Word	thermomec	thermomec
Word	thirty-f	thirty-f
Word	thirty-s	thirty-s
Word	tradition	tradition
Word	transcrip	transcrip
Word	transmuta	transmuta
Word	treasures	treasures
Word	trismegis	trismegis
Word	ulassinor	ulassinor
Word	undergrou	undergrou
Word	unscienti	unscienti
Word	urglyburg	urglyburg
Word	vandalism	vandalism
Word	vegetable	vegetable
Word	villicent	villicent
Word	walkthrou	walkthrou
Word	water-pr	water-pr
Word	waterproo	waterproo
Word	wikipedia	wikipedia
Word	wizard's	wizard's
Word	wizards'	wizards'
Word	z-machin	z-machin
Word	zugulibur	zugulibur

Routine 0xffb0	routine65456:?
Routine 0xffb8	routine65464:?
! References: CompassDirection.cName, obj7_north.cName, obj8_south.cName, obj9_east.cName, obj10_west.cName, obj11_northeast.cName, obj12_northwest.cName, obj13_southeast.cName, obj14_southwest.cName, obj15_up_above.cName, obj16_ground.cName, obj17_inside.cName, obj18_outside.cName
Routine 0xffc8	routine65480:?
Routine 0xffd8	routine65496:?
Routine 0x10000	routine65536:?
Routine 0x10008	routine65544:?
Routine 0x10030	routine65584:?
Routine 0x100d0	routine65744:?
Routine 0x10160	routine65888:?
Routine 0x10198	routine65944:?
Routine 0x10208	routine66056:?
Routine 0x10220	routine66080:?
Routine 0x10240	routine66112:?
Routine 0x10270	routine66160:?
Routine 0x102a0	routine66208:?
Routine 0x102d0	routine66256:?
Routine 0x10300	routine66304:?
Routine 0x10338	routine66360:?
Routine 0x10350	routine66384:?
Routine 0x10388	routine66440:?
Routine 0x103c0	routine66496:?
Routine 0x11f90	routine73616:?
Routine 0x11fa0	routine73632:?
Routine 0x11fb0	routine73648:?
Routine 0x11fc0	routine73664:?
Routine 0x11fe0	routine73696:?
Routine 0x12070	routine73840:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x12088	routine73864:?
Routine 0x12090	routine73872:?
Routine 0x120a0	routine73888:?
Routine 0x120b0	routine73904:?
Routine 0x120b8	routine73912:?
Routine 0x120c8	routine73928:?
Routine 0x122b8	routine74424:?
Routine 0x12ba8	routine76712:?
Routine 0x12be0	routine76768:?
Routine 0x12c00	routine76800:?
Routine 0x12d38	routine77112:?
Routine 0x12d58	routine77144:?
Routine 0x12da8	routine77224:?
Routine 0x12dd0	routine77264:?
Routine 0x131e0	routine78304:?
Routine 0x13648	routine79432:?
Routine 0x13900	routine80128:?
Routine 0x13a00	routine80384:?
Routine 0x13b78	routine80760:?
Routine 0x13bc0	routine80832:?
Routine 0x13bf8	routine80888:?
Routine 0x13ce8	routine81128:?
Routine 0x13d80	routine81280:?
Routine 0x13de8	routine81384:?
Routine 0x13e20	routine81440:?
Routine 0x13e70	routine81520:?
Routine 0x13e98	routine81560:?
Routine 0x13eb8	routine81592:?
Routine 0x13ee8	routine81640:?
Routine 0x13f80	routine81792:?
Routine 0x13f98	routine81816:?
Routine 0x13fb8	routine81848:?
Routine 0x14040	routine81984:?
Routine 0x14070	routine82032:?
Routine 0x14160	routine82272:?
Routine 0x14188	routine82312:?
Routine 0x141d8	routine82392:?
Routine 0x142f8	routine82680:?
Routine 0x14350	routine82768:?
Routine 0x14380	routine82816:?
Routine 0x143b0	routine82864:?
Routine 0x143f8	routine82936:?
Routine 0x14430	routine82992:?
Routine 0x14448	routine83016:?
Routine 0x14460	routine83040:?
Routine 0x14470	routine83056:?
Routine 0x14570	routine83312:?
Routine 0x14578	routine83320:?
Routine 0x145c0	routine83392:?
Routine 0x145d8	routine83416:?
Routine 0x145f0	routine83440:?
Routine 0x14610	routine83472:?
Routine 0x14668	PronounsSub:?
Routine 0x14718	routine83736:?
Routine 0x14750	routine83792:?
Routine 0x14780	routine83840:?
Routine 0x14788	routine83848:?
Routine 0x147b8	routine83896:?
! References: obj22__Inform_Library_.play
Routine 0x14820	routine84000:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0x14bb0	routine84912:?
! References: obj22__Inform_Library_.begin_action
Routine 0x14bd8	routine84952:?
Routine 0x14c10	routine85008:?
Routine 0x14c38	routine85048:?
Routine 0x14c98	routine85144:?
Routine 0x14cb8	routine85176:?
Routine 0x14cc8	routine85192:?
Routine 0x14d70	routine85360:?
Routine 0x14d90	routine85392:?
Routine 0x14db8	routine85432:?
Routine 0x14e00	routine85504:?
Routine 0x14e40	routine85568:?
Routine 0x14e88	routine85640:?
Routine 0x14e98	routine85656:?
Routine 0x14ec0	routine85696:?
Routine 0x14f20	routine85792:?
Routine 0x14f58	routine85848:?
Routine 0x14f78	routine85880:?
Routine 0x14fa0	routine85920:?
Routine 0x14fb0	routine85936:?
Routine 0x15010	routine86032:?
Routine 0x15048	routine86088:?
Routine 0x15098	routine86168:?
Routine 0x150c0	routine86208:?
Routine 0x150d8	routine86232:?
Routine 0x150f0	routine86256:?
Routine 0x15110	routine86288:?
Routine 0x15158	routine86360:?
Routine 0x151b0	routine86448:?
Routine 0x151e0	routine86496:?
Routine 0x15280	routine86656:?
Routine 0x15300	routine86784:?
Routine 0x15328	routine86824:?
Routine 0x15350	routine86864:?
Routine 0x15370	routine86896:?
Routine 0x15378	routine86904:?
Routine 0x15380	routine86912:?
Routine 0x15390	routine86928:?
Routine 0x153c8	routine86984:?
Routine 0x153d8	routine87000:?
Routine 0x153f0	routine87024:?
Routine 0x153f8	routine87032:?
Routine 0x15448	routine87112:?
Routine 0x15460	routine87136:?
