! Auto-generated by Reform.

MD5	33dcc5085acb290d1817e07653c13480
! References: obj73_switch.prop11
Routine 0x1a1a0	routine106912:?
! References: obj74_old_stale_popcorn.prop10, obj75_old_stale_popcorn.prop10, obj76_old_stale_popcorn.prop10, obj77_old_stale_popcorn.prop10, obj78_old_stale_popcorn.prop10, obj79_old_stale_popcorn.prop10, obj80_old_stale_popcorn.prop10, obj81_old_stale_popcorn.prop10, obj82_old_stale_popcorn.prop10, obj83_old_stale_popcorn.prop10, obj84_old_stale_popcorn.prop10, obj85_old_stale_popcorn.prop10, obj86_old_stale_popcorn.prop10, obj87_old_stale_popcorn.prop10, obj88_old_stale_popcorn.prop10, obj89_old_stale_popcorn.prop10, obj90_old_stale_popcorn.prop10, obj91_old_stale_popcorn.prop10, obj92_old_stale_popcorn.prop10, obj93_old_stale_popcorn.prop10, obj94_old_stale_popcorn.prop10, obj95_old_stale_popcorn.prop10, obj96_old_stale_popcorn.prop10, obj97_old_stale_popcorn.prop10, obj98_old_stale_popcorn.prop10, obj99_old_stale_popcorn.prop10, obj100_last_of_the_popcorn.prop10
Routine 0x1a1fc	routine107004:?
! References: obj74_old_stale_popcorn.prop11, obj75_old_stale_popcorn.prop11, obj76_old_stale_popcorn.prop11, obj77_old_stale_popcorn.prop11, obj78_old_stale_popcorn.prop11, obj79_old_stale_popcorn.prop11, obj80_old_stale_popcorn.prop11, obj81_old_stale_popcorn.prop11, obj82_old_stale_popcorn.prop11, obj83_old_stale_popcorn.prop11, obj84_old_stale_popcorn.prop11, obj85_old_stale_popcorn.prop11, obj86_old_stale_popcorn.prop11, obj87_old_stale_popcorn.prop11, obj88_old_stale_popcorn.prop11, obj89_old_stale_popcorn.prop11, obj90_old_stale_popcorn.prop11, obj91_old_stale_popcorn.prop11, obj92_old_stale_popcorn.prop11, obj93_old_stale_popcorn.prop11, obj94_old_stale_popcorn.prop11, obj95_old_stale_popcorn.prop11, obj96_old_stale_popcorn.prop11, obj97_old_stale_popcorn.prop11, obj98_old_stale_popcorn.prop11, obj99_old_stale_popcorn.prop11, obj100_last_of_the_popcorn.prop11
Routine 0x1a2ac	routine107180:?
! References: obj100_last_of_the_popcorn.prop10
Routine 0x1a2f8	routine107256:?
! References: obj101_Outside_The_Theatre.prop27
Routine 0x1a328	routine107304:?
! References: obj101_Outside_The_Theatre.prop23
Routine 0x1a528	routine107816:?
! References: obj101_Outside_The_Theatre.prop13
Routine 0x1a530	routine107824:?
! References: obj101_Outside_The_Theatre.prop15
Routine 0x1a614	routine108052:?
! References: obj101_Outside_The_Theatre.prop16
Routine 0x1a668	routine108136:?
! References: obj104_vicious_thug.prop12
Routine 0x1a6bc	routine108220:?
! References: obj104_vicious_thug.prop10
Routine 0x1a76c	routine108396:?
! References: obj104_vicious_thug.prop33
Routine 0x1a7c4	routine108484:?
! References: obj106_Help_Thug.prop8
Routine 0x1a9bc	routine108988:?
! References: obj106_Help_Thug.prop33
Routine 0x1aa44	routine109124:?
! References: obj107_Sealed_Up_Ticket_Booth.prop10
Routine 0x1aa50	routine109136:?
! References: obj108_boarded_up_windows.prop10
Routine 0x1aa78	routine109176:?
! References: obj109_ragged_skeleton.prop25
Routine 0x1aa9c	routine109212:?
! References: obj109_ragged_skeleton.prop10
Routine 0x1ab14	routine109332:?
! References: obj110_old_rags.prop10
Routine 0x1aba0	routine109472:?
! References: obj111_old_pocket_watch.prop10
Routine 0x1abc8	routine109512:?
! References: obj111_old_pocket_watch.prop26
Routine 0x1ac64	routine109668:?
! References: obj112_little_dial.prop26
Routine 0x1ace0	routine109792:?
! References: obj112_little_dial.prop10
Routine 0x1ad40	routine109888:?
! References: obj114_old_boxes_of_junk.prop10, obj289_medical_posters.prop1, obj327_four_poster_bed.prop1
Routine 0x1ae88	routine110216:?
! References: obj115_Narrow_Hallway.prop27
Routine 0x1ae98	routine110232:?
! References: obj115_Narrow_Hallway.prop13
Routine 0x1af54	routine110420:?
! References: obj116_carpet_rolls.prop26
Routine 0x1af80	routine110464:?
! References: obj116_carpet_rolls.prop10
Routine 0x1afe4	routine110564:?
! References: obj117_Rienhart_s_corpse.prop25
Routine 0x1b0dc	routine110812:?
! References: obj117_Rienhart_s_corpse.prop10
Routine 0x1b124	routine110884:?
! References: obj117_Rienhart_s_corpse.prop11
Routine 0x1b1ec	routine111084:?
! References: obj118_appointment_book.prop11
Routine 0x1b25c	routine111196:?
! References: obj118_appointment_book.prop10
Routine 0x1b26c	routine111212:?
! References: obj120_sealed_door.prop10
Routine 0x1b380	routine111488:?
! References: obj122_stage_doors.prop10
Routine 0x1b3b0	routine111536:?
! References: obj123_rubbish_bin.prop27
Routine 0x1b3d4	routine111572:?
! References: obj123_rubbish_bin.prop10
Routine 0x1b45c	routine111708:?
! References: obj124_old_ticket.prop10
Routine 0x1b528	routine111912:?
! References: obj127_Cindy_Crawford.prop12, obj128_Kathy_Ireland.prop12, obj129_Stephanie_Seymour.prop12, obj130_Elle_MacPherson.prop12
Routine 0x1b674	routine112244:?
! References: obj127_Cindy_Crawford.prop10, obj128_Kathy_Ireland.prop10, obj129_Stephanie_Seymour.prop10, obj130_Elle_MacPherson.prop10
Routine 0x1b738	routine112440:?
! References: obj125_Dirty_Dream.prop29
Routine 0x1b864	routine112740:?
! References: obj132_Staircase_Landing.prop13
Routine 0x1b8b4	routine112820:?
! References: obj133_large_portrait.prop10
Routine 0x1b8dc	routine112860:?
! References: obj134_painted_room.prop10
Routine 0x1b988	routine113032:?
! References: obj135_painted_gentleman.prop10
Routine 0x1b9a8	routine113064:?
! References: obj120_sealed_door.prop1, obj136_painted_fireplace.prop10, obj333_sealed_door.prop1
Routine 0x1b9c8	routine113096:?
! References: obj137_painted_oaken_door.prop10
Routine 0x1b9e8	routine113128:?
! References: obj137_painted_oaken_door.prop11
Routine 0x1ba24	routine113188:?
! References: obj138_ghostly_presence.prop10
Routine 0x1ba7c	routine113276:?
! References: obj138_ghostly_presence.prop12
Routine 0x1baf0	routine113392:?
! References: obj138_ghostly_presence.prop33
Routine 0x1bb8c	routine113548:?
! References: obj139_Help_Ghostly_Presence.prop8
Routine 0x1bcb0	routine113840:?
! References: obj141_Eastern_Landing.prop23
Routine 0x1bd9c	routine114076:?
! References: obj141_Eastern_Landing.prop13
Routine 0x1bda4	routine114084:?
! References: obj141_Eastern_Landing.prop21
Routine 0x1bdb8	routine114104:?
! References: obj142_lobby.prop10
Routine 0x1bdc0	routine114112:?
! References: obj143_Western_Landing.prop23
Routine 0x1bdfc	routine114172:?
! References: obj143_Western_Landing.prop13
Routine 0x1be04	routine114180:?
! References: obj143_Western_Landing.prop34
Routine 0x1be18	routine114200:?
! References: obj144_Southern_Landing.prop3
Routine 0x1be6c	routine114284:?
! References: obj145_heavy_curtains.prop10
Routine 0x1bec8	routine114376:?
! References: obj145_heavy_curtains.prop11
Routine 0x1bf48	routine114504:?
! References: obj146_patterned_circular_window.prop10
Routine 0x1bfc8	routine114632:?
! References: obj147_faint_spotlight.prop10
Routine 0x1c048	routine114760:?
! References: obj148_Help_Patterned_Window.prop8
Routine 0x1c140	routine115008:?
! References: obj149_Eastern_Theatre_Aisle.prop2
Routine 0x1c178	routine115064:?
! References: obj149_Eastern_Theatre_Aisle.prop10
Routine 0x1c1cc	routine115148:?
! References: obj149_Eastern_Theatre_Aisle.prop24
Routine 0x1c1fc	routine115196:?
! References: obj149_Eastern_Theatre_Aisle.prop14
Routine 0x1c204	routine115204:?
! References: obj149_Eastern_Theatre_Aisle.prop13
Routine 0x1c20c	routine115212:?
! References: obj150_theatre_seats.prop10
Routine 0x1c240	routine115264:?
! References: obj151_Western_Theatre_Aisle.prop2
Routine 0x1c260	routine115296:?
! References: obj151_Western_Theatre_Aisle.prop10
Routine 0x1c2b4	routine115380:?
! References: obj151_Western_Theatre_Aisle.prop24
Routine 0x1c2e4	routine115428:?
! References: obj151_Western_Theatre_Aisle.prop14
Routine 0x1c2ec	routine115436:?
! References: obj151_Western_Theatre_Aisle.prop13
Routine 0x1c2f4	routine115444:?
! References: obj152_theatre_seats.prop10
Routine 0x1c328	routine115496:?
! References: obj154_stage_dust.prop26
Routine 0x1c348	routine115528:?
! References: obj156_walk_in_storage_cupboards.prop10
Routine 0x1c398	routine115608:?
! References: obj157_Pit_Cupboards.prop10
Routine 0x1c3a8	routine115624:?
! References: obj157_Pit_Cupboards.prop15
Routine 0x1c440	routine115776:?
! References: obj158_shadow_creature.prop27
Routine 0x1c4a8	routine115880:?
! References: obj158_shadow_creature.prop12
Routine 0x1c4d4	routine115924:?
! References: obj158_shadow_creature.prop34
Routine 0x1c57c	routine116092:?
! References: obj160_Help_Shadow_Creature.prop8
Routine 0x1c5a4	routine116132:?
! References: obj163_dropped_items.prop26
Routine 0x1c610	routine116240:?
! References: obj163_dropped_items.prop10
Routine 0x1c6ac	routine116396:?
! References: obj164_Eastern_Stairway.prop10
Routine 0x1c6cc	routine116428:?
! References: obj164_Eastern_Stairway.prop16
Routine 0x1c6f0	routine116464:?
! References: obj165_finely_carpeted_stairway.prop10
Routine 0x1c6f8	routine116472:?
! References: obj166_ghostly_conversation.prop10
Routine 0x1c720	routine116512:?
! References: obj166_ghostly_conversation.prop34
Routine 0x1c738	routine116536:?
! References: obj167_Eastern_Balcony.prop26, obj369_stairs.prop1
Routine 0x1c7b4	routine116660:?
! References: obj167_Eastern_Balcony.prop2
Routine 0x1c860	routine116832:?
! References: obj168_theatre_seats.prop10
Routine 0x1c8a4	routine116900:?
! References: obj169_Help_Other_Balcony.prop8
Routine 0x1c8c4	routine116932:?
! References: obj170_large_chandelier.prop26
Routine 0x1c8f4	routine116980:?
! References: obj170_large_chandelier.prop10
Routine 0x1c900	routine116992:?
! References: obj170_large_chandelier.prop33
Routine 0x1cbe8	routine117736:?
! References: obj170_large_chandelier.prop25
Routine 0x1cc48	routine117832:?
! References: obj173_old_fashioned_camera.prop26
Routine 0x1cd24	routine118052:?
! References: obj173_old_fashioned_camera.prop10
Routine 0x1cda4	routine118180:?
! References: obj174_flash_bulb.prop26
Routine 0x1ce7c	routine118396:?
! References: obj175_Back_Stage.prop34
Routine 0x1cea4	routine118436:?
! References: obj177_stage_doors.prop10
Routine 0x1cef8	routine118520:?
! References: obj180_ropes.prop10
Routine 0x1cf28	routine118568:?
! References: obj182_Up_the_Ropes.prop10
Routine 0x1cf78	routine118648:?
! References: obj182_Up_the_Ropes.prop22
Routine 0x1d018	routine118808:?
! References: obj185_old_locker.prop10
Routine 0x1d034	routine118836:?
! References: obj185_old_locker.prop11
Routine 0x1d15c	routine119132:?
! References: obj186_broken_locker.prop10
Routine 0x1d1f8	routine119288:?
! References: obj188_old_newspaper_clipping.prop10
Routine 0x1d220	routine119328:?
! References: obj189_coiled_serpent.prop10
Routine 0x1d24c	routine119372:?
! References: obj189_coiled_serpent.prop12
Routine 0x1d2c4	routine119492:?
! References: obj190_Help_Nasty_Snake.prop8, obj255_goblin_creature.prop1, obj371_Trent.prop1
Routine 0x1d2f4	routine119540:?
! References: obj194_old_secret_stairway.prop10
Routine 0x1d370	routine119664:?
! References: obj195_Underground_Passage.prop26
Routine 0x1d38c	routine119692:?
! References: obj196_brick_walls.prop10
Routine 0x1d41c	routine119836:?
! References: obj197_iron_door.prop26
Routine 0x1d450	routine119888:?
! References: obj197_iron_door.prop16
Routine 0x1d498	routine119960:?
! References: obj197_iron_door.prop13
Routine 0x1d4a4	routine119972:?
! References: obj197_iron_door.prop11
Routine 0x1d4b0	routine119984:?
! References: obj197_iron_door.prop34
Routine 0x1d4c0	routine120000:?
! References: obj198_Help_Iron_Door.prop8
Routine 0x1d4d0	routine120016:?
! References: obj199_Above_the_Pit.prop26
Routine 0x1d524	routine120100:?
! References: obj199_Above_the_Pit.prop34
Routine 0x1d5e0	routine120288:?
! References: obj200_nearby_pit.prop10
Routine 0x1d6a4	routine120484:?
! References: obj201_Inside_Pit.prop34
Routine 0x1d868	routine120936:?
! References: obj202_rough_walls.prop10
Routine 0x1d8a4	routine120996:?
! References: obj203_invisible_monster.prop34
Routine 0x1d8b4	routine121012:?
! References: obj204_Help_Pit_Monster.prop8
Routine 0x1d954	routine121172:?
! References: obj207_Western_End_of_Sewer.prop10
Routine 0x1da14	routine121364:?
! References: obj208_sluice_gate.prop10
Routine 0x1da30	routine121392:?
! References: obj209_large_drain.prop10
Routine 0x1da54	routine121428:?
! References: obj210_drainage_trench.prop10
Routine 0x1da64	routine121444:?
! References: obj212_Centre_of_Sewer.prop10
Routine 0x1da98	routine121496:?
! References: obj213_Metal_Platform.prop10
Routine 0x1dab4	routine121524:?
! References: obj214_rusty_lever.prop10
Routine 0x1dad0	routine121552:?
Routine 0x1dc00	routine121856:?
! References: obj215_Eastern_End_of_Sewer.prop10
Routine 0x1dc44	routine121924:?
! References: obj69_street_level_windows.prop1, obj146_patterned_circular_window.prop1, obj147_faint_spotlight.prop1, obj217_Rat_Nest.prop18, obj354_patterned_window.prop1
Routine 0x1dc60	routine121952:?
! References: obj217_Rat_Nest.prop10
Routine 0x1dd78	routine122232:?
! References: obj218_rat_dung_and_other_unmentionables.prop10
Routine 0x1ddc0	routine122304:?
! References: obj219_unusual_archway.prop10
Routine 0x1ddd4	routine122324:?
! References: obj220_swarm_of_rats.prop30
Routine 0x1dde4	routine122340:?
! References: obj220_swarm_of_rats.prop12
Routine 0x1de08	routine122376:?
! References: obj220_swarm_of_rats.prop10
Routine 0x1de74	routine122484:?
! References: obj220_swarm_of_rats.prop27
Routine 0x1deac	routine122540:?
! References: obj220_swarm_of_rats.prop33
Routine 0x1dfec	routine122860:?
Routine 0x1e31c	routine123676:?
! References: obj222_Help_Passing_Rats.prop8
Routine 0x1e728	routine124712:?
! References: obj223_Help_Passing_Archway.prop8
Routine 0x1e800	routine124928:?
! References: obj226_archway.prop10
Routine 0x1e888	routine125064:?
! References: obj227_iron_cauldron.prop10
Routine 0x1e898	routine125080:?
! References: obj228_bronze_statue.prop25
Routine 0x1e98c	routine125324:?
! References: obj228_bronze_statue.prop26
Routine 0x1e9f8	routine125432:?
! References: obj229_upper_left_arm.prop26
Routine 0x1eb90	routine125840:?
! References: obj230_lower_left_arm.prop26
Routine 0x1ebcc	routine125900:?
! References: obj231_upper_right_arm.prop26
Routine 0x1ec08	routine125960:?
! References: obj232_lower_right_arm.prop26
Routine 0x1ec44	routine126020:?
! References: obj233_top_eye_socket.prop26, obj234_right_eye_socket.prop26, obj235_left_eye_socket.prop26, obj236_bottom_eye_socket.prop26
Routine 0x1ec80	routine126080:?
! References: obj233_top_eye_socket.prop10, obj234_right_eye_socket.prop10, obj235_left_eye_socket.prop10, obj236_bottom_eye_socket.prop10
Routine 0x1ecb4	routine126132:?
! References: obj233_top_eye_socket.prop11, obj234_right_eye_socket.prop11, obj235_left_eye_socket.prop11, obj236_bottom_eye_socket.prop11
Routine 0x1eec4	routine126660:?
! References: obj237_jewelled_dagger.prop26
Routine 0x1efdc	routine126940:?
! References: obj237_jewelled_dagger.prop10
Routine 0x1f0a0	routine127136:?
! References: obj239_bubbling_liquid.prop10
Routine 0x1f174	routine127348:?
! References: obj240_pool_of_vomit.prop10
Routine 0x1f2d0	routine127696:?
! References: obj242_eye_one.prop28, obj243_eye_two.prop28, obj244_eye_three.prop28, obj245_eye_four.prop28
Routine 0x1f464	routine128100:?
! References: obj242_eye_one.prop36, obj243_eye_two.prop36, obj244_eye_three.prop36, obj245_eye_four.prop36
Routine 0x1f474	routine128116:?
! References: obj242_eye_one.prop26, obj243_eye_two.prop26, obj244_eye_three.prop26, obj245_eye_four.prop26
Routine 0x1f51c	routine128284:?
Routine 0x1f5cc	routine128460:?
! References: obj242_eye_one.prop37
Routine 0x1f700	routine128768:?
! References: obj243_eye_two.prop37
Routine 0x1f708	routine128776:?
! References: obj244_eye_three.prop37
Routine 0x1f710	routine128784:?
! References: obj245_eye_four.prop37
Routine 0x1f718	routine128792:?
Routine 0x1f720	routine128800:?
! References: obj246_Help_Bronze_Statue.prop8
Routine 0x1f770	routine128880:?
! References: obj248_Old_Hallway.prop10
Routine 0x1f8c0	routine129216:?
! References: obj248_Old_Hallway.prop34
Routine 0x1f8fc	routine129276:?
! References: obj248_Old_Hallway.prop17
Routine 0x1f904	routine129284:?
! References: obj249_Help_Chanting_Sound.prop8
Routine 0x1f958	routine129368:?
! References: obj250_Ceremony_Room.prop34
Routine 0x1f974	routine129396:?
! References: obj252_Mine_Shaft.prop26
Routine 0x20040	routine131136:?
! References: obj252_Mine_Shaft.prop10
Routine 0x200b4	routine131252:?
! References: obj254_large_cage.prop27
Routine 0x200dc	routine131292:?
! References: obj254_large_cage.prop10
Routine 0x20164	routine131428:?
! References: obj255_goblin_creature.prop12
Routine 0x201b4	routine131508:?
! References: obj255_goblin_creature.prop34
Routine 0x20894	routine133268:?
! References: obj256_Help_Goblin.prop8
Routine 0x209a8	routine133544:?
! References: obj257_Western_Balcony.prop2
Routine 0x20a44	routine133700:?
! References: obj262_large_hole.prop10
Routine 0x20a88	routine133768:?
! References: obj263_Secret_Library.prop26
Routine 0x20a98	routine133784:?
! References: obj264_hook.prop26
Routine 0x20bac	routine134060:?
! References: obj264_hook.prop10
Routine 0x20bec	routine134124:?
! References: obj265_large_hole.prop10
Routine 0x20c08	routine134152:?
! References: obj266_bookcases.prop10
Routine 0x20c18	routine134168:?
! References: obj266_bookcases.prop26
Routine 0x20da8	routine134568:?
! References: obj267_hundreds_of_books.prop10
Routine 0x20e24	routine134692:?
! References: obj268_metal_chain.prop26
Routine 0x20e84	routine134788:?
! References: obj268_metal_chain.prop10
Routine 0x20f1c	routine134940:?
! References: obj270_reading_desk.prop10
Routine 0x21068	routine135272:?
! References: obj272_Southern_End_of_the_Library.prop26
Routine 0x21078	routine135288:?
! References: obj272_Southern_End_of_the_Library.prop24
Routine 0x21138	routine135480:?
! References: obj272_Southern_End_of_the_Library.prop16
Routine 0x21140	routine135488:?
! References: obj273_large_nest.prop10
Routine 0x21168	routine135528:?
! References: obj274_large_slug.prop25
Routine 0x211d0	routine135632:?
! References: obj274_large_slug.prop10
Routine 0x21218	routine135704:?
! References: obj275_sticky_strands.prop10
Routine 0x21444	routine136260:?
! References: obj276_dead_slug.prop10
Routine 0x2158c	routine136588:?
! References: obj278_Help_Slug.prop8
Routine 0x215f0	routine136688:?
! References: obj281_outside_wall.prop10
Routine 0x2167c	routine136828:?
! References: obj282_Tight_Stairway.prop10
Routine 0x2168c	routine136844:?
! References: obj282_Tight_Stairway.prop34
Routine 0x216f8	routine136952:?
! References: obj282_Tight_Stairway.prop22
Routine 0x21750	routine137040:?
! References: obj282_Tight_Stairway.prop21
Routine 0x21778	routine137080:?
! References: obj282_Tight_Stairway.prop16
Routine 0x217a4	routine137124:?
! References: obj282_Tight_Stairway.prop15
Routine 0x217ac	routine137132:?
! References: obj283_narrow_little_stairway.prop10
Routine 0x217b4	routine137140:?
! References: obj292_letter.prop10
Routine 0x217d0	routine137168:?
! References: obj293_small_glass_vial.prop10
Routine 0x219c0	routine137664:?
! References: obj294_clear_blue_liquid.prop10
Routine 0x21a24	routine137764:?
! References: obj295_pain_killer_tablets.prop10
Routine 0x21b98	routine138136:?
! References: obj296_stethoscope.prop10
Routine 0x21bd8	routine138200:?
! References: obj296_stethoscope.prop34
Routine 0x21c08	routine138248:?
! References: obj297_Prop_Room.prop10
Routine 0x21c88	routine138376:?
Routine 0x21cac	routine138412:?
! References: obj298_various_junk.prop10
Routine 0x21d0c	routine138508:?
! References: obj300_trapdoor.prop16
Routine 0x21d24	routine138532:?
! References: obj300_trapdoor.prop13
Routine 0x21d34	routine138548:?
! References: obj300_trapdoor.prop25
Routine 0x21d48	routine138568:?
! References: obj300_trapdoor.prop14
Routine 0x21d8c	routine138636:?
! References: obj300_trapdoor.prop10
Routine 0x21dcc	routine138700:?
! References: obj301_Help_Entering_Attic.prop8
Routine 0x21e0c	routine138764:?
! References: obj302_Southern_End_of_the_Attic.prop22
Routine 0x21e70	routine138864:?
! References: obj306_cracks_in_the_plastered_floor.prop10
Routine 0x21e98	routine138904:?
! References: obj307_large_winch.prop25
Routine 0x21ecc	routine138956:?
! References: obj307_large_winch.prop10
Routine 0x21f34	routine139060:?
! References: obj308_thick_cable.prop10
Routine 0x21f58	routine139096:?
! References: obj309_handle.prop10
Routine 0x21fc8	routine139208:?
! References: obj310_chandelier.prop25
Routine 0x22060	routine139360:?
! References: obj310_chandelier.prop10
Routine 0x220b0	routine139440:?
! References: obj311_Help_Attic_Winch.prop8
Routine 0x22124	routine139556:?
! References: obj312_Costume_Room.prop24
Routine 0x2218c	routine139660:?
! References: obj312_Costume_Room.prop15
Routine 0x22194	routine139668:?
! References: obj312_Costume_Room.prop34
Routine 0x221ac	routine139692:?
! References: obj314_mannequin_dressed_in_a_pirate_costume.prop12, obj315_mannequin_dressed_in_a_cowboy_costume.prop12, obj316_mannequin_dressed_in_a_gladiator_costume.prop12
Routine 0x22454	routine140372:?
! References: obj317_costume_peripherals.prop10
Routine 0x224e8	routine140520:?
! References: obj318_old_gas_mask.prop10
Routine 0x22530	routine140592:?
! References: obj318_old_gas_mask.prop11
Routine 0x225dc	routine140764:?
! References: obj318_old_gas_mask.prop34
Routine 0x22624	routine140836:?
! References: obj319_Help_Mannequins.prop8
Routine 0x226d8	routine141016:?
! References: obj322_musical_junk.prop10
Routine 0x22734	routine141108:?
! References: obj323_piano.prop10
Routine 0x2274c	routine141132:?
! References: obj323_piano.prop11
Routine 0x22958	routine141656:?
! References: obj324_sheet_of_music.prop10
Routine 0x2297c	routine141692:?
! References: obj325_Guest_Star_Room.prop21
Routine 0x22a28	routine141864:?
! References: obj325_Guest_Star_Room.prop22
Routine 0x22a48	routine141896:?
! References: obj328_fireplace.prop10
Routine 0x22a68	routine141928:?
! References: obj329_Sealed_Off_Office.prop21
Routine 0x22b20	routine142112:?
! References: obj329_Sealed_Off_Office.prop22
Routine 0x22b2c	routine142124:?
! References: obj330_fireplace.prop10
Routine 0x22b38	routine142136:?
! References: obj331_coffin.prop11
Routine 0x22bd0	routine142288:?
! References: obj331_coffin.prop10
Routine 0x22c3c	routine142396:?
! References: obj333_sealed_door.prop10
Routine 0x22c5c	routine142428:?
! References: obj334_velvet_lining.prop10
Routine 0x22c88	routine142472:?
! References: obj335_shiny_key.prop10
Routine 0x22cc0	routine142528:?
! References: obj336_Help_Shiny_Key.prop8
Routine 0x22cf8	routine142584:?
! References: obj338_Boiler_Room.prop21
Routine 0x22d3c	routine142652:?
! References: obj338_Boiler_Room.prop24
Routine 0x22d48	routine142664:?
! References: obj340_old_boiler.prop10
Routine 0x22d54	routine142676:?
! References: obj343_bottle_of_glue.prop26
Routine 0x22db4	routine142772:?
! References: obj343_bottle_of_glue.prop10
Routine 0x22e4c	routine142924:?
! References: obj344_puddle_of_glue.prop27
Routine 0x22f04	routine143108:?
! References: obj344_puddle_of_glue.prop10
Routine 0x22f24	routine143140:?
! References: obj345_lump_of_coal.prop10
Routine 0x22f80	routine143232:?
! References: obj346_Theatre_Roof.prop26
Routine 0x22fec	routine143340:?
! References: obj346_Theatre_Roof.prop16
Routine 0x230dc	routine143580:?
! References: obj347_chimney.prop10
Routine 0x23108	routine143624:?
! References: obj350_battered_crow.prop34
Routine 0x2312c	routine143660:?
! References: obj350_battered_crow.prop10
Routine 0x23298	routine144024:?
! References: obj350_battered_crow.prop12
Routine 0x232ec	routine144108:?
! References: obj351_Help_The_Crow.prop8
Routine 0x23408	routine144392:?
! References: obj352_Attic_Observatory.prop10
Routine 0x23444	routine144452:?
! References: obj352_Attic_Observatory.prop34
Routine 0x234ac	routine144556:?
! References: obj352_Attic_Observatory.prop24
Routine 0x23548	routine144712:?
! References: obj352_Attic_Observatory.prop14
Routine 0x23550	routine144720:?
! References: obj355_strangely_shaped_telescope.prop26
Routine 0x23558	routine144728:?
! References: obj355_strangely_shaped_telescope.prop25
Routine 0x23620	routine144928:?
! References: obj355_strangely_shaped_telescope.prop10
Routine 0x2367c	routine145020:?
! References: obj355_strangely_shaped_telescope.prop11
Routine 0x23a14	routine145940:?
! References: obj356_greenish_gas.prop10
Routine 0x23a44	routine145988:?
! References: obj357_clear_lens.prop10
Routine 0x23adc	routine146140:?
! References: obj357_clear_lens.prop11
Routine 0x23be8	routine146408:?
! References: obj358_Help_Telescope.prop8
Routine 0x23c4c	routine146508:?
! References: obj359_patterned_lens.prop25
Routine 0x23d44	routine146756:?
! References: obj359_patterned_lens.prop10
Routine 0x23d9c	routine146844:?
! References: obj363_Outside_the_Burning_Mansion.prop34
Routine 0x23ea8	routine147112:?
! References: obj365_driveway.prop10
Routine 0x23ecc	routine147148:?
! References: obj367_burning_mansion.prop10
Routine 0x23edc	routine147164:?
! References: obj369_stairs.prop10
Routine 0x23eec	routine147180:?
! References: obj371_Trent.prop25
Routine 0x23f08	routine147208:?
! References: obj371_Trent.prop26
Routine 0x23f48	routine147272:?
! References: obj371_Trent.prop36
Routine 0x23fcc	routine147404:?
! References: obj371_Trent.prop12
Routine 0x23fe4	routine147428:?
! References: obj371_Trent.prop34
Routine 0x24124	routine147748:?
! References: obj375_younger_woman.prop12
Routine 0x24178	routine147832:?
! References: obj376_old_hag.prop12
Routine 0x243b4	routine148404:?
! References: obj376_old_hag.prop34
Routine 0x24560	routine148832:?
Routine 0x2472c	routine149292:?
! References: obj380_posters.prop10
Routine 0x247dc	routine149468:?
! References: obj381_grand_staircase.prop10
Routine 0x24800	routine149504:?
! References: obj382_Help_Ending_The_Game.prop8
Routine 0x2481c	routine149532:?
! References: obj384_row_of_hooks.prop10
Routine 0x24888	routine149640:?
! References: obj385_Manager_s_Office.prop22
Routine 0x248c8	routine149704:?
! References: obj386_office_papers.prop10
Routine 0x248f0	routine149744:?
! References: obj388_trapdoor.prop27
Routine 0x2492c	routine149804:?
! References: obj388_trapdoor.prop16
Routine 0x24990	routine149904:?
! References: obj388_trapdoor.prop13
Routine 0x249a0	routine149920:?
! References: obj389_Rienhart.prop33
Routine 0x249b4	routine149940:?
! References: obj390_pager.prop10
Routine 0x24bb0	routine150448:?
! References: obj391_Basement.prop24
Routine 0x24be4	routine150500:?
! References: obj391_Basement.prop21
Routine 0x24bec	routine150508:?
! References: obj396_car.prop10
Routine 0x24c14	routine150548:?
Routine 0x24d14	routine150804:?
Routine 0x24d64	routine150884:?
Routine 0x250a4	routine151716:?
Routine 0x25150	routine151888:?
Routine 0x25160	routine151904:?
Routine 0x2519c	routine151964:?
Routine 0x251ac	routine151980:?
Routine 0x25214	routine152084:?
Routine 0x2522c	routine152108:?
Routine 0x252a8	routine152232:?
Routine 0x2530c	routine152332:?
Routine 0x255d0	routine153040:?
Routine 0x255e4	routine153060:?
Routine 0x25714	routine153364:?
Routine 0x257b0	routine153520:?
Routine 0x257c8	routine153544:?
Routine 0x25808	routine153608:?
Routine 0x2584c	Action108Sub:?
Routine 0x2596c	Action1Sub:?
Routine 0x25a4c	routine154188:?
Routine 0x25a80	Action0Sub:?
Routine 0x25cb4	routine154804:?
Routine 0x25ccc	routine154828:?
Routine 0x25e38	Action15Sub:?
Routine 0x25f60	Action19Sub:?
Routine 0x25fe8	Action104Sub:?
Routine 0x26018	Action102Sub:?
Routine 0x26050	Action103Sub:?
Routine 0x26088	Action105Sub:?
Routine 0x260a8	Action110Sub:?
Routine 0x2611c	routine155932:?
Routine 0x261a4	routine156068:?
Routine 0x261e0	routine156128:?
Routine 0x26214	routine156180:?
Routine 0x26278	Action100Sub:?
Routine 0x262b4	Action111Sub:?
Routine 0x262c8	Action101Sub:?
Routine 0x262d0	Action92Sub:?
Routine 0x26304	Action112Sub:?
Routine 0x26328	Action113Sub:?
Routine 0x263ec	Action114Sub:?
Routine 0x26408	Action109Sub:?
