! Auto-generated by Reform.

MD5	c043df8624e0e1e9fda92f1a74b6e402
Action 30	PutOn		! 'set' held 'on'/'across'/'over' noun
				! 'set' multiexcept 'on' noun
				! 'chuck'/'discard'/'drop'/'throw'/'toss' multiexcept 'on'/'onto' noun
				! 'lay'/'place'/'put'/'stick' held 'on'/'onto'/'across'/'over' noun
				! 'lay'/'place'/'put'/'stick' multiexcept 'on'/'onto' noun
Action 31	Give		! 'feed'/'give'/'hand'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'hand'/'offer'/'pay' creature held
				! 'feed'/'give'/'hand'/'offer'/'pay' 'over' held 'to' creature
Action 32	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 33	GetOff		! 'get' 'off' noun
				! 'get' 'off' 'of' noun
Action 34	Exit		! 'hop'/'jump'/'leap'/'skip' 'off' noun
				! 'hop'/'jump'/'leap'/'skip' 'out' 'of' noun
				! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
				! 'leave' noun
				! 'get' 'out'/'off'/'down'
				! 'get' 'down' 'from' noun
				! 'get' 'out'/'off'/'up'
				! 'get' 'out' 'of' noun
				! 'get' 'up' 'from' noun
Action 35	VagueGo		! 'leave'
				! 'crawl'/'go'/'run'/'walk'
Action 36	Open		! 'open'/'uncover'/'unwrap' noun
Action 37	LMode1		! 'brief'/'normal'
Action 38	LMode2		! 'long'/'verbose'
Action 39	LMode3		! 'short'/'superbrie'
Action 40	Look		! 'l//'/'look'
				! 'l//'/'look' 'around'
Action 41	LookUnder	! 'l//'/'look' 'under' noun
Action 42	Unlock		! 'unlock' noun=routine181456
				! 'unlock' noun 'with' held
				! 'open'/'uncover'/'unwrap' noun 'with' held
Action 43	Lock		! 'latch'/'lock' noun=routine181456
				! 'latch'/'lock' noun 'with' held
Action 44	SwitchOn	! 'flip'/'switch' noun
				! 'flip'/'switch' noun 'on'
				! 'flip'/'switch' 'on' noun
				! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' 'on' noun
Action 45	SwitchOff	! 'flip'/'switch' noun 'off'
				! 'flip'/'switch' 'off' noun
				! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 46	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 47	Disrobe		! 'disrobe'/'doff'/'shed' multiheld
				! 'remove' multiheld
				! 'take' 'off' multiheld
				! 'take' multiheld 'off'
Action 48	Wear		! 'lay'/'place'/'put'/'stick' held 'on'
				! 'lay'/'place'/'put'/'stick' multiheld 'on'
				! 'lay'/'place'/'put'/'stick' 'on' held
				! 'lay'/'place'/'put'/'stick' 'on' multiheld
				! 'don'/'wear' held
				! 'don'/'wear' multi
Action 49	Eat		! 'bite'/'chew'/'devour'/'eat' noun
Action 50	Yes		! 'y//'/'yes'
Action 51	No		! 'no'
Action 52	Burn		! 'burn'/'ignite'/'light' noun
				! 'burn'/'ignite'/'light' noun 'with' held
				! 'blow'/'breathe' 'up' noun
				! 'blow'/'breathe' noun 'up'
				! 'set' 'fire' 'to' noun
				! 'set' 'fire' 'to' noun 'with' held
Action 53	Pray		! 'pray'
				! 'pray' 'to' noun
Action 54	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 55	WakeOther	! 'awake'/'awaken'/'wake' noun
				! 'awake'/'awaken'/'wake' noun 'up'
				! 'awake'/'awaken'/'wake' 'up' noun
Action 56	Kiss		! 'feel'/'fondle'/'grope'/'touch' creature
				! 'taste' creature
				! 'embrace'/'hug'/'kiss'/'smooch' noun
Action 57	Think		! 'remember'/'think'
				! 'remember'/'think' 'about' topic
				! 'remember'/'think' topic
Action 58	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 59	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 60	Taste		! 'taste' noun
Action 61	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 62	Dig		! 'dig' noun
				! 'dig' noun 'with' held
				! 'dig' 'in' noun
				! 'dig' 'in' noun 'with' held
Action 63	Cut		! 'chop'/'cut'/'prune'/'rip'/'slice'/'tear' noun
				! 'chop'/'cut'/'prune'/'rip'/'slice'/'tear' noun 'with' noun
Action 64	Jump		! 'hop'/'jump'/'leap'/'skip'
Action 65	JumpOver	! 'hop'/'jump'/'leap'/'skip' 'over' noun
Action 66	Tie		! 'affix'/'attach'/'fasten'/'fix'/'tie' noun 'to'/'on'/'onto' noun
Action 67	Drink		! 'drink'/'gulp'/'imbibe'/'sip'/'swallow' noun
Action 68	Fill		! 'fill' held 'with' noun
Action 69	Sorry		! 'sorry'
Action 70	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 71	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 72	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'scratch'/'smash'/'strike'/'swat'/'thump'/'wreck' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'scratch'/'smash'/'strike'/'swat'/'thump'/'wreck' noun 'with' held
Action 73	Swim		! 'dive'/'swim'
Action 74	Swing		! 'swing'
				! 'swing' noun
				! 'swing' 'on' noun
Action 75	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'smear'/'sweep'/'wipe' noun
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'smear'/'sweep'/'wipe' noun 'with' held
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'smear'/'sweep'/'wipe' held 'on'/'onto' noun
Action 76	Set		! 'adjust' noun
				! 'set' noun
Action 77	SetTo		! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' noun 'to' special
				! 'adjust' noun 'to' special
				! 'set' noun 'to' special
Action 78	WaveHands	! 'wave'
				! 'wave' 'at'/'to' creature
Action 79	Wave		! 'wave' noun
				! 'wave' noun 'at' noun
Action 80	Pull		! 'drag'/'haul'/'pull'/'yank' noun
				! 'drag'/'haul'/'pull'/'yank' 'on' noun
Action 81	Push		! 'trip' creature
				! 'lean' 'on'/'against' noun
				! 'clear'/'move'/'press'/'push'/'rock'/'roll'/'shift'/'shove'/'slide' noun
				! 'clear'/'move'/'press'/'push'/'rock'/'roll'/'shift'/'shove'/'slide' noun 'with' held
Action 82	Turn		! 'rotate'/'screw'/'spin'/'turn'/'twist'/'unscrew' noun
Action 83	Squeeze		! 'grip'/'squash'/'squeeze' noun
Action 84	ThrowAt		! 'chuck'/'discard'/'drop'/'throw'/'toss' held 'at'/'against'/'on'/'onto' noun
Action 85	Ask		! 'ask' creature 'about' scope=routine181528
Action 86	Tell		! 'talk' 'about' scope=routine181528 'with' creature
				! 'talk' 'to' creature 'about' scope=routine181528
				! 'tell' creature 'about' scope=routine181528
				! 'speak' 'to' creature 'about' scope=routine181528
				! 'speak' 'about' scope=routine181528 'with' creature
Action 87	Buy		! 'buy'/'purchase' noun
Action 88	Sing		! 'chant'/'sing'
Action 89	Wait		! 'wait'/'z//'
Action 90	Sleep		! 'fall' 'asleep'
				! 'doze'/'nap'/'sleep'
				! 'crawl'/'go'/'run'/'walk' 'to' 'sleep'
Action 91	SayName		! 'ialdabaol'
				! 'speak' 'ialdabaol'
				! 'answer'/'say' 'ialdabaol'
Action 92	AskFor		! 'ask' noun=routine181584 'for'/'about' scope=routine181592
				! 'ask' creature 'for' noun
Action 95	Measure		! 'measure' noun
				! 'measure' noun 'with' held
Action 96	Pour		! 'dump'/'pour'/'spill' noun
				! 'dump'/'pour'/'spill' noun 'out'
				! 'dump'/'pour'/'spill' 'out' noun
				! 'dump'/'pour'/'spill' noun 'into'/'in'/'onto'/'on'/'over' noun
Action 97	Hello		! 'hello'/'hi'
				! 'hello'/'hi' noun
Action 98	Call		! 'call'/'dial'/'phone'/'telephone' noun
				! 'call'/'dial'/'phone'/'telephone' number
				! 'call'/'dial'/'phone'/'telephone' topic
Action 99	RightHere	! 'crawl'/'go'/'run'/'walk' 'around'/'to'/'by'/'toward'/'towards'/'near'/'behind' noun
				! 'crawl'/'go'/'run'/'walk' 'close'/'closer' 'to' noun
Action 100	Smear		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'smear'/'sweep'/'wipe' noun 'with' noun=routine181504
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'smear'/'sweep'/'wipe' noun=routine181504 'on'/'onto' noun
				! 'lay'/'place'/'put'/'stick' noun=routine181504 'on' noun
Action 101	Bend		! 'bend'/'straighte' noun
Action 102	Raise		! 'lift'/'raise' noun
Action 103	Knock		! 'knock'/'rap' 'on'/'at' noun
Action 104	Read		! 'read' noun
Action 105	PutUnder	! 'clear'/'move'/'press'/'push'/'rock'/'roll'/'shift'/'shove'/'slide' noun 'to'/'under'/'underneat'/'beneath'/'against'/'by'/'near' noun
				! 'clear'/'move'/'press'/'push'/'rock'/'roll'/'shift'/'shove'/'slide' noun 'close'/'closer' 'to' noun
				! 'drag'/'haul'/'pull'/'yank' noun 'under'/'underneat'/'beneath' noun
				! 'drag'/'haul'/'pull'/'yank' noun 'close'/'closer' 'to' noun
				! 'lay'/'place'/'put'/'stick' noun 'under'/'underneat'/'beneath' noun
				! 'lay'/'place'/'put'/'stick' noun 'close'/'closer' 'to' noun
Action 106	Lower		! 'lower' noun
Action 107	LookBehind	! 'l//'/'look' 'behind' noun
Action 108	Empty		! 'unpack' noun
				! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 109	Untie		! 'free'/'loosen'/'untie' noun
Action 110	PutFinger	! 'lay'/'place'/'put'/'stick' 'finger'/'fingers' 'on'/'over'/'in' multi
Action 111	Hide		! 'hide'
				! 'hide' 'in'/'among'/'under'/'behind'/'inside' noun
				! 'get' 'under' noun
Action 112	AutoUnlock	! 'unlock' beenunlocked
Action 113	VagueUnlock	! 'unlock' noun=routine181488
Action 114	TakeWith	! 'get' noun 'with' held
				! 'carry'/'catch'/'grab'/'hold'/'hook'/'snag' noun 'with' held
				! 'take' noun 'with' held
Action 115	Hang		! 'dangle'/'hang' 'from'/'off'/'on' noun
Action 116	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 117	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 118	Scream		! 'cry'/'scream'/'shout'/'shriek'/'yell'
Action 119	Pack		! 'pack' noun
Action 120	LiftFinger	! 'lift'/'raise' 'finger'/'fingers' 'from'/'off' multi
				! 'lift'/'raise' 'finger'/'fingers' 'off' 'of' multi
				! 'remove' 'finger'/'fingers' 'from' multi
				! 'take' 'finger'/'fingers' 'from'/'off' multi
				! 'take' 'finger'/'fingers' 'off' 'of' multi
Action 121	Play		! 'play' noun
				! 'play' 'on' noun
				! 'blow'/'breathe' held
				! 'blow'/'breathe' 'in'/'into' noun
Action 122	Type		! 'type' topic
Action 123	Fold		! 'crease'/'fold'/'unfold' noun
Action 124	Shake		! 'jiggle'/'rattle'/'shake' held
Action 125	Extinguish	! 'extinguis'/'snuff' noun
				! 'blow'/'breathe' 'out'/'on' noun
				! 'blow'/'breathe' noun 'out'
				! 'lay'/'place'/'put'/'stick' 'out' noun
				! 'lay'/'place'/'put'/'stick' noun 'out'
Action 126	Ring		! 'ring' noun
Action 127	Version		! 'version'
Action 128	Dress		! 'dress'
				! 'get' 'dressed'
Action 129	Undress		! 'undress'
				! 'get' 'undressed'
Action 130	GoToBed		! 'crawl'/'go'/'run'/'walk' 'to' 'bed'
Action 131	AutoConsult	! 'find' topic
				! 'search' 'for' topic
				! 'read' 'about' topic
				! 'l//'/'look' 'up'/'for' topic
Action 132	AutoLock	! 'latch'/'lock' beenunlocked
Action 133	VagueTell	! 'talk' 'about' scope=routine181528
				! 'tell' 'about' scope=routine181528
				! 'speak' 'about' scope=routine181528
Action 134	VagueAskFor	! 'ask' 'for'/'about' scope=routine181592
				! 'ask' 'for' noun
Action 135	VagueAsk	! 'ask' 'about' scope=routine181528
Action 136	MainMenu	! 'about'/'author'/'credit'/'credits'/'help'/'hint'/'hints'/'menu'
Action 137	DescribeOn	! 'describe' 'on'
Action 138	DescribeOff	! 'describe' 'off'
Action 139	Bathe		! 'bathe'/'shower'
Action 140	FoolAround	! 'fool'/'mess' 'around'
				! 'fool'/'mess' 'with' noun
				! 'fool'/'mess' 'around' 'with' noun
				! 'play'
				! 'play' 'around'
				! 'play' 'with' noun
				! 'play' 'around' 'with' noun
Action 141	Fool		! 'fool'/'mess' creature
Action 142	Bury		! 'bury' held
				! 'bury' held 'in'/'under' noun
Action 143	Draw		! 'draw'/'have' noun

Word	abandoned	abandoned
Word	aberratio	aberratio
Word	academius	academius
Word	accordion	accordion
Word	americana	americana
Word	amputated	amputated
Word	amputatio	amputatio
Word	anchorhea	anchorhea
Word	animal's	animal's
Word	anniversa	anniversa
Word	answering	answering
Word	antechamb	antechamb
Word	apparitio	apparitio
Word	architect	architect
Word	arnsworth	arnsworth
Word	astrologi	astrologi
Word	astronomi	astronomi
Word	attachmen	attachmen
Word	automobil	automobil
Word	bannister	bannister
Word	barnacles	barnacles
Word	battery-	battery-
Word	belonging	belonging
Word	benson's	benson's
Word	blackhead	blackhead
Word	bloodstai	bloodstai
Word	blueprint	blueprint
Word	bookshelf	bookshelf
Word	bookshelv	bookshelv
Word	bottomles	bottomles
Word	brackhurs	brackhurs
Word	breakwate	breakwate
Word	buildings	buildings
Word	burrowing	burrowing
Word	c-shaped	c-shaped
Word	calculati	calculati
Word	calibrate	calibrate
Word	calibrati	calibrati
Word	canvasses	canvasses
Word	carbuncle	carbuncle
Word	cardboard	cardboard
Word	catastrop	catastrop
Word	cauldrons	cauldrons
Word	chain-li	chain-li
Word	character	character
Word	check-ou	check-ou
Word	cherrywoo	cherrywoo
Word	cinderblo	cinderblo
Word	circuitbo	circuitbo
Word	circulati	circulati
Word	classical	classical
Word	claudia'	claudia'
Word	claw-foo	claw-foo
Word	clippings	clippings
Word	cobblesto	cobblesto
Word	colonnade	colonnade
Word	combinati	combinati
Word	commotion	commotion
Word	component	component
Word	compresso	compresso
Word	conglomer	conglomer
Word	contrapti	contrapti
Word	conversat	conversat
Word	corruptio	corruptio
Word	counterto	counterto
Word	courthous	courthous
Word	courtyard	courtyard
Word	coveralls	coveralls
Word	creatures	creatures
Word	crumbling	crumbling
Word	cryptical	cryptical
Word	cul-de-	cul-de-
Word	curiositi	curiositi
Word	curiosity	curiosity
Word	cylindric	cylindric
Word	decapitat	decapitat
Word	depressio	depressio
Word	deschamps	deschamps
Word	dilapidat	dilapidat
Word	direction	direction
Word	dishevele	dishevele
Word	doctor's	doctor's
Word	documents	documents
Word	dog-eare	dog-eare
Word	downstair	downstair
Word	draperies	draperies
Word	edward's	edward's
Word	electroni	electroni
Word	embankmen	embankmen
Word	encyclope	encyclope
Word	equations	equations
Word	equipment	equipment
Word	everythin	everythin
Word	extinguis	extinguis
Word	fingerboa	fingerboa
Word	fingermar	fingermar
Word	fingerpri	fingerpri
Word	fireplace	fireplace
Word	fisherman	fisherman
Word	fishermen	fishermen
Word	flagstone	flagstone
Word	flashligh	flashligh
Word	flickerin	flickerin
Word	floorboar	floorboar
Word	floral-p	floral-p
Word	fluoresce	fluoresce
Word	footprint	footprint
Word	foundatio	foundatio
Word	four-pos	four-pos
Word	frightene	frightene
Word	fullscore	fullscore
Word	furniture	furniture
Word	graveston	graveston
Word	grillwork	grillwork
Word	grotesque	grotesque
Word	haermonia	haermonia
Word	hand-wov	hand-wov
Word	handcuffs	handcuffs
Word	handwriti	handwriti
Word	hardbound	hardbound
Word	hemispher	hemispher
Word	hexagonal	hexagonal
Word	hidey-ho	hidey-ho
Word	hieroglyp	hieroglyp
Word	historica	historica
Word	horizonta	horizonta
Word	hurricane	hurricane
Word	husband'	husband'
Word	hydraulic	hydraulic
Word	ialdabaol	ialdabaol
Word	identific	identific
Word	illuminat	illuminat
Word	illustrat	illustrat
Word	imaginati	imaginati
Word	imitation	imitation
Word	indicator	indicator
Word	industria	industria
Word	infant's	infant's
Word	inscripti	inscripti
Word	instituti	instituti
Word	instrumen	instrumen
Word	insulatio	insulatio
Word	inventory	inventory
Word	irregular	irregular
Word	jackstraw	jackstraw
Word	janitor'	janitor'
Word	jeffrey'	jeffrey'
Word	jewellery	jewellery
Word	kidnapper	kidnapper
Word	laborator	laborator
Word	landscape	landscape
Word	left-han	left-han
Word	lettering	lettering
Word	librarian	librarian
Word	lighthous	lighthous
Word	lightning	lightning
Word	limestone	limestone
Word	locomotiv	locomotiv
Word	lunatic'	lunatic'
Word	machinery	machinery
Word	madman's	madman's
Word	maintenan	maintenan
Word	malformed	malformed
Word	malfuncti	malfuncti
Word	mantelpie	mantelpie
Word	matchbook	matchbook
Word	mechanics	mechanics
Word	memorandu	memorandu
Word	merchandi	merchandi
Word	metempsyc	metempsyc
Word	michael'	michael'
Word	mint-gre	mint-gre
Word	moldering	moldering
Word	monstrous	monstrous
Word	moonshine	moonshine
Word	moulderin	moulderin
Word	mummified	mummified
Word	municipal	municipal
Word	nameplate	nameplate
Word	nasty-lo	nasty-lo
Word	necronomi	necronomi
Word	newspaper	newspaper
Word	nightmare	nightmare
Word	northeast	northeast
Word	northwest	northwest
Word	observati	observati
Word	observato	observato
Word	oddly-an	oddly-an
Word	old-fash	old-fash
Word	orderly'	orderly'
Word	outcroppi	outcroppi
Word	overgrown	overgrown
Word	overstuff	overstuff
Word	overturne	overturne
Word	overweigh	overweigh
Word	paintings	paintings
Word	palm-siz	palm-siz
Word	paperweig	paperweig
Word	paperwork	paperwork
Word	partially	partially
Word	passagewa	passagewa
Word	pavestone	pavestone
Word	pentagram	pentagram
Word	person's	person's
Word	phosphore	phosphore
Word	photograp	photograp
Word	pictogram	pictogram
Word	picture-	picture-
Word	pipelines	pipelines
Word	pipestand	pipestand
Word	pitchfork	pitchfork
Word	place-ho	place-ho
Word	pockmarke	pockmarke
Word	pornograp	pornograp
Word	possessed	possessed
Word	powerbook	powerbook
Word	precision	precision
Word	pregnancy	pregnancy
Word	primitive	primitive
Word	printouts	printouts
Word	professor	professor
Word	proprieto	proprieto
Word	radiation	radiation
Word	rainwater	rainwater
Word	receptacl	receptacl
Word	rectangle	rectangle
Word	rectangul	rectangul
Word	red-rimm	red-rimm
Word	reflectio	reflectio
Word	refrigera	refrigera
Word	reinforce	reinforce
Word	reinforci	reinforci
Word	relations	relations
Word	relatives	relatives
Word	religious	religious
Word	reservoir	reservoir
Word	right-ha	right-ha
Word	righteous	righteous
Word	sacrifici	sacrifici
Word	sauvignon	sauvignon
Word	schematic	schematic
Word	scratches	scratches
Word	screaming	screaming
Word	scribbled	scribbled
Word	september	september
Word	servitors	servitors
Word	seventeen	seventeen
Word	shopkeepe	shopkeepe
Word	shoreline	shoreline
Word	showerhea	showerhea
Word	sidestree	sidestree
Word	silhouett	silhouett
Word	slaughter	slaughter
Word	smokestac	smokestac
Word	southeast	southeast
Word	southwest	southwest
Word	space-ti	space-ti
Word	spectacle	spectacle
Word	spraypain	spraypain
Word	stained-	stained-
Word	stainless	stainless
Word	staircase	staircase
Word	stairwell	stairwell
Word	stonework	stonework
Word	straighte	straighte
Word	structure	structure
Word	styrofoam	styrofoam
Word	suitcases	suitcases
Word	superbrie	superbrie
Word	superstit	superstit
Word	superviso	superviso
Word	switchbac	switchbac
Word	tarnished	tarnished
Word	technical	technical
Word	telephone	telephone
Word	telescope	telescope
Word	tentacles	tentacles
Word	testament	testament
Word	threadbar	threadbar
Word	threateni	threateni
Word	three-fo	three-fo
Word	threshold	threshold
Word	throbbing	throbbing
Word	timothy'	timothy'
Word	tombstone	tombstone
Word	torchligh	torchligh
Word	townsfolk	townsfolk
Word	transcrip	transcrip
Word	transduct	transduct
Word	trashcans	trashcans
Word	trenchcoa	trenchcoa
Word	triangula	triangula
Word	turbulenc	turbulenc
Word	turbulent	turbulent
Word	typewritt	typewritt
Word	uncomfort	uncomfort
Word	underbrus	underbrus
Word	undergrou	undergrou
Word	undergrow	undergrow
Word	underneat	underneat
Word	underside	underside
Word	undressed	undressed
Word	universit	universit
Word	upholster	upholster
Word	utilitari	utilitari
Word	velvet-l	velvet-l
Word	verdigris	verdigris
Word	verlac's	verlac's
Word	vestibule	vestibule
Word	vibrating	vibrating
Word	vibration	vibration
Word	villagers	villagers
Word	wallpaper	wallpaper
Word	waterproo	waterproo
Word	weathered	weathered
Word	wheldrake	wheldrake
Word	whippoorw	whippoorw
Word	whirlpool	whirlpool
Word	white-wa	white-wa
Word	whitewash	whitewash
Word	william'	william'
Word	wood-bur	wood-bur
Word	workbench	workbench
Word	worktable	worktable
Word	worm-eat	worm-eat

Routine 0xfe18	routine65048:?
Routine 0xfe20	routine65056:?
Routine 0xfe30	routine65072:?
Routine 0xfe90	routine65168:?
Routine 0xfec0	routine65216:?
Routine 0xff18	routine65304:?
Routine 0xff48	routine65352:?
Routine 0xff50	routine65360:?
Routine 0xff78	routine65400:?
Routine 0x10018	routine65560:?
Routine 0x101f0	routine66032:?
Routine 0x10228	routine66088:?
Routine 0x10268	routine66152:?
Routine 0x10298	routine66200:?
Routine 0x102c8	routine66248:?
Routine 0x102f8	routine66296:?
Routine 0x10328	routine66344:?
Routine 0x10340	routine66368:?
Routine 0x10378	routine66424:?
Routine 0x103b8	routine66488:?
Routine 0x103c8	routine66504:?
Routine 0x122a8	routine74408:?
Routine 0x122b8	routine74424:?
Routine 0x122c8	routine74440:?
Routine 0x122d8	routine74456:?
Routine 0x122e8	routine74472:?
Routine 0x12308	routine74504:?
Routine 0x12398	routine74648:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x123b0	routine74672:?
Routine 0x123b8	routine74680:?
Routine 0x125a0	routine75168:?
Routine 0x12cf0	routine77040:?
Routine 0x12d20	routine77088:?
Routine 0x12d40	routine77120:?
Routine 0x12e88	routine77448:?
Routine 0x12ea0	routine77472:?
Routine 0x12ef0	routine77552:?
Routine 0x13348	routine78664:?
Routine 0x13828	routine79912:?
Routine 0x13af0	routine80624:?
Routine 0x13bc0	routine80832:?
Routine 0x13d20	routine81184:?
Routine 0x13d68	routine81256:?
Routine 0x13e48	routine81480:?
Routine 0x13ec0	routine81600:?
Routine 0x13f30	routine81712:?
Routine 0x13f68	routine81768:?
Routine 0x13fb8	routine81848:?
Routine 0x13fe0	routine81888:?
Routine 0x14000	routine81920:?
Routine 0x14030	routine81968:?
Routine 0x140d0	routine82128:?
Routine 0x140e8	routine82152:?
Routine 0x14108	routine82184:?
Routine 0x14180	routine82304:?
Routine 0x141b0	routine82352:?
Routine 0x14298	routine82584:?
Routine 0x142c0	routine82624:?
Routine 0x14310	routine82704:?
Routine 0x14430	routine82992:?
Routine 0x14488	routine83080:?
Routine 0x144b8	routine83128:?
Routine 0x144e8	routine83176:?
Routine 0x14530	routine83248:?
Routine 0x14580	routine83328:?
Routine 0x14598	routine83352:?
Routine 0x145b0	routine83376:?
Routine 0x145c0	routine83392:?
Routine 0x146c0	routine83648:?
Routine 0x146c8	routine83656:?
Routine 0x14710	routine83728:?
Routine 0x14728	routine83752:?
Routine 0x14740	routine83776:?
Routine 0x14760	routine83808:?
Routine 0x147c0	PronounsSub:?
Routine 0x14870	routine84080:?
Routine 0x148a8	routine84136:?
Routine 0x148d8	routine84184:?
Routine 0x148e0	routine84192:?
Routine 0x14910	routine84240:?
! References: obj22__Inform_Library_.play
Routine 0x14978	routine84344:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0x14d30	routine85296:?
! References: obj22__Inform_Library_.begin_action
Routine 0x14de0	routine85472:?
Routine 0x14e28	routine85544:?
Routine 0x14e48	routine85576:?
Routine 0x14e78	routine85624:?
Routine 0x14ec0	routine85696:?
Routine 0x14f00	routine85760:?
Routine 0x14f48	routine85832:?
Routine 0x14f88	routine85896:?
Routine 0x14f98	routine85912:?
Routine 0x14fc0	routine85952:?
Routine 0x15020	routine86048:?
Routine 0x15040	routine86080:?
Routine 0x15068	routine86120:?
Routine 0x15078	routine86136:?
Routine 0x150d8	routine86232:?
Routine 0x15110	routine86288:?
Routine 0x15168	routine86376:?
Routine 0x15190	routine86416:?
Routine 0x151b0	routine86448:?
Routine 0x151c8	routine86472:?
Routine 0x151e8	routine86504:?
Routine 0x15230	routine86576:?
Routine 0x15288	routine86664:?
Routine 0x15310	routine86800:?
Routine 0x15388	routine86920:?
Routine 0x15450	routine87120:?
Routine 0x154f8	routine87288:?
Routine 0x156e8	routine87784:?
Routine 0x157a8	routine87976:?
Routine 0x15838	routine88120:?
Routine 0x15878	routine88184:?
Routine 0x158a0	routine88224:?
Routine 0x158c8	routine88264:?
Routine 0x158e0	routine88288:?
Routine 0x158e8	routine88296:?
Routine 0x15918	routine88344:?
Routine 0x15938	routine88376:?
Routine 0x15968	routine88424:?
Routine 0x159e8	VersionSub:?
Routine 0x15a70	routine88688:?
Routine 0x15aa0	PlacesSub:?
Routine 0x15aa8	ObjectsSub:?
Routine 0x15ab0	routine88752:?
